A,B,result
Frame of reference,Vacuum,0
Galilean invariance,Absolute time and space,0
Galilean invariance,Center of momentum frame,2
Galilean invariance,Dialogue Concerning the Two Chief World Systems,0
Galilean invariance,Electromagnetism,0
Galilean invariance,Galilean transformation,0
Galilean invariance,Galileo's ship,0
Galilean invariance,Inertial frame of reference,0
Galilean invariance,Isolated system,1
Galilean invariance,Kinetic energy,1
Galilean invariance,Lorentz covariance,0
Galilean invariance,Lorentz transformation,0
Galilean invariance,Maxwell's equations,0
Galilean invariance,Momentum,0
Galilean invariance,Special relativity,0
Galilean invariance,Superluminal motion,0
Galilean invariance,Symmetry (physics),0
Galilean invariance,Work (physics),0
General relativity,Acceleration,1
General relativity,Albert Einstein,1
General relativity,Atomic clock,0
General relativity,Connection (mathematics),0
General relativity,Conservation of energy,0
General relativity,Contributors to general relativity,0
General relativity,Density,0
General relativity,Earth,0
General relativity,Einstein ring,0
General relativity,Einstein–Cartan theory,0
General relativity,Equation of state,0
General relativity,Equivalence principle,0
General relativity,Field equation,0
General relativity,Friedmann–Lema?tre–Robertson–Walker metric,0
General relativity,Fudge factor,2
General relativity,Geodesic (general relativity),0
General relativity,Gravitational wave detector,0
General relativity,Gravity Probe B,0
General relativity,Inertial frame of reference,0
General relativity,Isotropy,2
General relativity,Newton's laws of motion,1
General relativity,Proper time,0
General relativity,Pulsar,0
General relativity,Reissner–Nordström metric,2
General relativity,Ricci curvature,0
General relativity,Shapiro delay,0
General relativity,Stress–energy tensor,0
General relativity,String theory,2
General relativity,Taub-NUT vacuum,0
General relativity,Thermal radiation,0
Gravitation,Acceleration,2
Gravitation,Aristotle,0
Gravitation,Arthur Eddington,0
Gravitation,Contact force,2
Gravitation,Fifth force,0
Gravitation,Force,0
Gravitation,Fundamental interaction,0
Gravitation,Gauss' law for gravity,0
Gravitation,Irwin I. Shapiro,0
Gravitation,Jacob Bekenstein,0
Gravitation,Natural phenomenon,0
Gravitation,Nonlinear system,0
Inertial frame of reference,Absolute time and space,0
Inertial frame of reference,Acceleration,1
Inertial frame of reference,Andromeda–Milky Way collision,0
Inertial frame of reference,Centrifugal force,2
Inertial frame of reference,Conversion of units,0
Inertial frame of reference,Coriolis effect,0
Inertial frame of reference,Edwin F. Taylor,0
Inertial frame of reference,Entailment,0
Inertial frame of reference,Euclidean vector,2
Inertial frame of reference,Euler force,0
Inertial frame of reference,Fictitious force,0
Inertial frame of reference,Force,0
Inertial frame of reference,Force carrier,1
Inertial frame of reference,Frame of reference,2
Inertial frame of reference,Galilean transformation,1
Inertial frame of reference,Geodesic deviation equation,2
Inertial frame of reference,John Archibald Wheeler,0
Inertial frame of reference,Length contraction,0
Inertial frame of reference,Local reference frame,2
Inertial frame of reference,Lorentz factor,0
Inertial frame of reference,Lorentz transformation,0
Inertial frame of reference,Metre,1
Inertial frame of reference,Non-inertial reference frame,0
Inertial frame of reference,Nuclear force,2
Inertial frame of reference,Rest (physics),1
Inertial frame of reference,Rotating reference frame,0
Inertial frame of reference,Speed of light,1
Inertial frame of reference,Time dilation,0
Inertial frame of reference,Translation (physics),0
Inertial frame of reference,Velocity,1
Isaac Newton, 1st Earl of Halifax,0
Isaac Newton,Earth,0
Isaac Newton,French Academy of Sciences,0
Isaac Newton,Godfrey Kneller,0
Isaac Newton,Great Plague of London,0
Isaac Newton,Internet Archive,0
Isaac Newton,John Collins (mathematician),0
Isaac Newton,MIT Press,0
Isaac Newton,Oxford University Museum of Natural History,0
Isaac Newton,Power series,0
Isaac Newton,René Descartes,0
Isaac Newton,Schrödinger–Newton equation,0
Isaac Newton,Socinianism,0
Mass,Bohr radius,0
Mass,Classical mechanics,0
Mass,Electrodeposition,0
Mass,Frank Wilczek,0
Mass,Gravitational time dilation,0
Mass,Mass in general relativity,0
Mass,Mercury (planet),0
Mass,Moon,0
Mass,Physics,0
Mass,Spring (device),0
Mass,Square (algebra),0
Mass,Weight,0
Momentum,Conservation law,0
Momentum,Dielectric,0
Momentum,Fick's laws of diffusion,0
Momentum,Four-momentum,0
Momentum,Frame of reference,0
Momentum,Inertia,0
Momentum,International System of Units,2
Momentum,Invariant mass,2
Momentum,Isaac Newton,2
Momentum,Jean Buridan,0
Momentum,John Philoponus,0
Momentum,John Wallis,0
Momentum,Moment map,0
Momentum,Newton's cradle,0
Momentum,Proper time,0
Momentum,Quantum mechanics,0
Momentum,Stiffness,0
Momentum,Stress–energy tensor,0
Momentum,Werner Heisenberg,0
Net force,Absolute value,2
Net force,Antiparallel,0
Net force,Euclidean vector,0
Net force,Force,1
Net force,Mechanics,2
Net force,Parallelogram of force,0
Net force,Point (geometry),1
Newton's law of universal gravitation,Empirical,1
Newton's law of universal gravitation,Equation,2
Newton's law of universal gravitation,Equivalence principle,0
Newton's law of universal gravitation,Free fall,0
Newton's law of universal gravitation,General relativity,0
Newton's law of universal gravitation,Geodesic,0
Newton's law of universal gravitation,Gravitational potential,2
Newton's law of universal gravitation,Hypotheses non fingo,0
Newton's law of universal gravitation,Integral,2
Newton's law of universal gravitation,Kepler orbit,0
Newton's law of universal gravitation,Line (geometry),0
Newton's law of universal gravitation,Mercury (planet),0
Newton's law of universal gravitation,Newton's cannonball,0
Newton's law of universal gravitation,Planet,0
Newton's law of universal gravitation,Square (algebra),0
Newton's law of universal gravitation,Standard Model,0
Newton's law of universal gravitation,Unit vector,1
Newton's laws of motion,Acceleration,1
Newton's laws of motion,Action at a distance (physics),0
Newton's laws of motion,Angular momentum,2
Newton's laws of motion,Center of mass,0
Newton's laws of motion,Classical electromagnetism,0
Newton's laws of motion,Classical mechanics,1
Newton's laws of motion,Conservation law,0
Newton's laws of motion,Constant factor rule in differentiation,0
Newton's laws of motion,Continuum mechanics,0
Newton's laws of motion,Deformation (mechanics),1
Newton's laws of motion,Differentiation,0
Newton's laws of motion,Energy,1
Newton's laws of motion,Euler's laws of motion,0
Newton's laws of motion,Fermion,0
Newton's laws of motion,Force,1
Newton's laws of motion,Force field (physics),0
Newton's laws of motion,Gauge theory,0
Newton's laws of motion,Gravitation,2
Newton's laws of motion,Hamiltonian mechanics,2
Newton's laws of motion,Hypotheses non fingo,0
Newton's laws of motion,Impulse (physics),0
Newton's laws of motion,Inertia,2
Newton's laws of motion,Inertial frame of reference,0
Newton's laws of motion,Isaac Newton,1
Newton's laws of motion,Kepler's laws of planetary motion,0
Newton's laws of motion,Lagrangian mechanics,0
Newton's laws of motion,Leonhard Euler,0
Newton's laws of motion,List of scientific laws named after people,0
Newton's laws of motion,Lorentz factor,0
Newton's laws of motion,Mass,1
Newton's laws of motion,Modified Newtonian dynamics,0
Newton's laws of motion,Momentum,0
Newton's laws of motion,Momentum operator,2
Newton's laws of motion,Motion (physics),0
Newton's laws of motion,Net force,1
Newton's laws of motion,Newton's law of universal gravitation,0
Newton's laws of motion,Noether's theorem,0
Newton's laws of motion,Operator (physics),0
Newton's laws of motion,Parallel,0
Newton's laws of motion,Philosophiæ Naturalis Principia Mathematica,0
Newton's laws of motion,Plasticity (physics),0
Newton's laws of motion,Principle of least action,2
Newton's laws of motion,Principle of relativity,0
Newton's laws of motion,Quantum mechanics,1
Newton's laws of motion,Quantum state,0
Newton's laws of motion,Reaction (physics),0
Newton's laws of motion,René Descartes,0
Newton's laws of motion,Rigid body,0
Newton's laws of motion,Semiconductor,0
Newton's laws of motion,Special relativity,0
Newton's laws of motion,Speed of light,0
Newton's laws of motion,Spin (physics),0
Newton's laws of motion,Standard Model,0
Newton's laws of motion,Superconductivity,0
Newton's laws of motion,Thrust,0
Newton's laws of motion,Uniform circular motion,0
Newton's laws of motion,Velocity,2
Newton's laws of motion,Wave function,0
Newton's laws of motion,Wolfram Demonstrations Project,0
Philosophiæ Naturalis Principia Mathematica, Oxford,0
Philosophiæ Naturalis Principia Mathematica,Aether (classical element),0
Philosophiæ Naturalis Principia Mathematica,Astronomia nova,0
Philosophiæ Naturalis Principia Mathematica,Bodmer Library,0
Philosophiæ Naturalis Principia Mathematica,Calculus,1
Philosophiæ Naturalis Principia Mathematica,De Historia piscium,0
Philosophiæ Naturalis Principia Mathematica,Dialogue Concerning the Two Chief World Systems,0
Philosophiæ Naturalis Principia Mathematica,Empiricism,0
Philosophiæ Naturalis Principia Mathematica,Firmin Abauzit,0
Philosophiæ Naturalis Principia Mathematica,Fran?ois Jacquier,0
Philosophiæ Naturalis Principia Mathematica,Georgia Institute of Technology,0
Philosophiæ Naturalis Principia Mathematica,Harry Ransom Center,0
Philosophiæ Naturalis Principia Mathematica,Huygens,1
Philosophiæ Naturalis Principia Mathematica,Ivor Grattan-Guinness,0
Philosophiæ Naturalis Principia Mathematica,Kepler's laws of planetary motion,0
Philosophiæ Naturalis Principia Mathematica,Latin,1
Philosophiæ Naturalis Principia Mathematica,Lucasian Professor of Mathematics,2
Philosophiæ Naturalis Principia Mathematica,Nicolaus Copernicus,2
Philosophiæ Naturalis Principia Mathematica,Opticks,0
Philosophiæ Naturalis Principia Mathematica,Richard S. Westfall,0
Philosophiæ Naturalis Principia Mathematica,Robert Hooke,0
Philosophiæ Naturalis Principia Mathematica,Samuel Pepys,0
Philosophiæ Naturalis Principia Mathematica,Teleological argument,0
Philosophiæ Naturalis Principia Mathematica,University of Wisconsin–Madison,0
Philosophiæ Naturalis Principia Mathematica,Worcester Polytechnic Institute,0
Quantum mechanics,Bohr–Einstein debates,0
Quantum mechanics,Bra-ket notation,0
Quantum mechanics,Classical mechanics,0
Quantum mechanics,Continuous function,0
Quantum mechanics,Determinism,0
Quantum mechanics,Frequency,1
Quantum mechanics,Grand Unified Theory,0
Quantum mechanics,List of quantum-mechanical systems with analytical solutions,0
Quantum mechanics,Many-worlds interpretation,0
Quantum mechanics,Molecular physics,0
Quantum mechanics,Molecule,2
Quantum mechanics,Niels Bohr,0
Quantum mechanics,Position operator,0
Quantum mechanics,Princeton University Press,0
Quantum mechanics,Quantum entanglement,0
Quantum mechanics,Quantum superposition,0
Quantum mechanics,Reductionism,1
Quantum mechanics,Self-adjoint operator,0
Quantum mechanics,Stephen Hawking,0
Quantum mechanics,Superposition principle,2
Quantum mechanics,The Feynman Lectures on Physics,0
Special relativity,Absolute time and space,0
Special relativity,Aether drag hypothesis,0
Special relativity,Algebra of physical space,0
Special relativity,Einstein notation,0
Special relativity,Electromagnetic tensor,0
Special relativity,Fine structure,0
Special relativity,Four-acceleration,0
Special relativity,Four-momentum,1
Special relativity,Four-vector,0
Special relativity,Frame of reference,0
Special relativity,Galileo Galilei,0
Special relativity,Gravitation,1
Special relativity,Günter Nimtz,0
Special relativity,Gustav Herglotz,0
Special relativity,Invariant (physics),0
Special relativity,Kip Thorne,0
Special relativity,Mass,2
Special relativity,Mechanics,1
Special relativity,Nuclide,0
Special relativity,Observer (special relativity),0
Special relativity,Particle accelerator,0
Special relativity,Poynting vector,0
Special relativity,Relativity of simultaneity,0
Special relativity,String theory,0
Special relativity,Theory of relativity,1
Special relativity,Time dilation,0
Special relativity,Twin paradox,2
Special relativity,Velocity,1
Speed of light,Albert Abraham Michelson,0
Speed of light,Andromeda Galaxy,0
Speed of light,Barycentric Dynamical Time,0
Speed of light,Capacitor,0
Speed of light,Field (physics),0
Speed of light,Gravitational wave,0
Speed of light,Higgs mechanism,0
Speed of light,International System of Units,0
Speed of light,Isaac Newton,0
Speed of light,Louis Essen,0
Speed of light,Metre,2
Speed of light,Quantum tunnelling,0
Speed of light,Relative permittivity,0
Speed of light,Sunlight,2
Velocity,Absolute value,0
Velocity,Classical mechanics,0
Velocity,Energy,2
Velocity,Four-velocity,0
Velocity,Hypervelocity,0
Velocity,Minkowski space,0
Velocity,Phase velocity,0
Velocity,Polar coordinate system,0
Velocity,Proper velocity,0
Velocity,Radial velocity,0
Velocity,Relative velocity,0
Velocity,Scalar (physics),2
Velocity,Speed,0
Velocity,Terminal velocity,0
Velocity,Torricelli's equation,0
