A,B,result
Non-Euclidean geometry,Distance,0
Non-Euclidean geometry,Inertial frame of reference,0
Non-Euclidean geometry,List of geometers,0
Non-Euclidean geometry,Mathematics in medieval Islam,0
Non-Euclidean geometry,Omar Khayyám,0
Non-Euclidean geometry,Poincaré disk model,0
Non-Euclidean geometry,Proof by contradiction,0
Non-Euclidean geometry,Pseudosphere,0
Non-Euclidean geometry,WebCite,0
Parallel postulate,Angle,1
Parallel postulate,Axiom,1
Parallel postulate,Carl Friedrich Gauss,0
Parallel postulate,Congruence (geometry),0
Parallel postulate,Consistency,0
Parallel postulate,Conversion (logic),2
Parallel postulate,Elliptic geometry,0
Parallel postulate,Euclid,1
Parallel postulate,Euclidean geometry,1
Parallel postulate,Euclid's Elements,1
Parallel postulate,Eugenio Beltrami,0
Parallel postulate,Hyperbolic geometry,0
Parallel postulate,Internal and external angle,1
Parallel postulate,John Playfair,0
Parallel postulate,Lambert quadrilateral,0
Parallel postulate,Lewis Carroll,0
Parallel postulate,Line (geometry),1
Parallel postulate,Mathematician,1
Parallel postulate,Mathematics in medieval Islam,0
Parallel postulate,Nasir al-Din al-Tusi,0
Parallel postulate,Non-Euclidean geometry,0
Parallel postulate,Parallel (geometry),1
Parallel postulate,Playfair's axiom,0
Parallel postulate,Proclus,0
Parallel postulate,Ptolemy,0
Parallel postulate,Right angle,1
Parallel postulate,Rome,0
Parallel postulate,Saccheri quadrilateral,0
Parallel postulate,Spherical geometry,0
Parallel postulate,Transformation (function),0
Parallel postulate,Triangle,0
Parallel postulate,Triangle postulate,0
Parallel postulate,Unconscious mind,0
Playfair's axiom,Axiom,1
Playfair's axiom,David Hilbert,0
Playfair's axiom,Hilbert's axioms,0
Playfair's axiom,Line (geometry),1
Playfair's axiom,Mathematician,0
Playfair's axiom,Parallel (geometry),0
Playfair's axiom,Right angle,0
Proclus,Dionysius the Areopagite,0
Proclus,Hero of Alexandria,0
Proclus,Johannes Scotus Eriugena,0
Proclus,Mathematics,0
Proclus,Menaechmus,0
Proclus,Monism,0
Proclus,Philip of Opus,0
Proclus,Proclus (crater),0
Pythagorean theorem,Cube,0
Pythagorean theorem,Euclid's Elements,1
Pythagorean theorem,List of triangle topics,0
Pythagorean theorem,Ratio,1
Pythagorean theorem,Right angle,1
Pythagorean theorem,Taylor series,0
Pythagorean theorem,Thomas Little Heath,0
Pythagorean theorem,Uganda,0
Right angle,Angle,0
Right angle,Cartesian coordinate system,0
Right angle,David Hilbert,0
Right angle,Degree (angle),0
Right angle,Euclid's Elements,0
Right angle,Gradian,0
Right angle,Hypotenuse,0
Right angle,Orthogonality,0
Right angle,Proclus,0
Right angle,Radian,0
Right angle,Trigonometry,0
Saccheri quadrilateral,Aristotle,0
Saccheri quadrilateral,Elliptic geometry,0
Saccheri quadrilateral,Giordano Vitale,1
Saccheri quadrilateral,Hyperbolic geometry,1
Saccheri quadrilateral,Lambert quadrilateral,0
Saccheri quadrilateral,Omar Khayyám,0
Saccheri quadrilateral,Parallel postulate,2
Saccheri quadrilateral,Reductio ad absurdum,0
Triangle,Angle,1
Triangle,Aryabhatiya,0
Triangle,Dimension,1
Triangle,Dot product,0
Triangle,Euclidean space,0
Triangle,Hypotenuse,0
Triangle,Isosceles triangle theorem,0
Triangle,Lester's theorem,0
Triangle,Pedoe's inequality,0
Triangle,Rectangle,0
Triangle,Special right triangles,0
