A,B,result
Intergovernmental Panel on Climate Change,Methane,0
Intergovernmental Panel on Climate Change,Peer review,0
Intergovernmental Panel on Climate Change,Rajendra K. Pachauri,0
Intergovernmental Panel on Climate Change,Raymond S. Bradley,0
Intergovernmental Panel on Climate Change,Scientific opinion on climate change,1
Intergovernmental Panel on Climate Change,United Nations Environment Programme,0
Intergovernmental Panel on Climate Change,Wikipedia,0
Intergovernmental Panel on Climate Change,Working group,0
IPCC Fourth Assessment Report,Afforestation,0
IPCC Fourth Assessment Report,Building-integrated photovoltaics,0
IPCC Fourth Assessment Report,Halocarbon,0
IPCC Fourth Assessment Report,Intergovernmental Panel on Climate Change,1
IPCC Fourth Assessment Report,Oil shale,0
IPCC Fourth Assessment Report,RealClimate,0
IPCC Fourth Assessment Report,Regenerative brake,1
IPCC Fourth Assessment Report,Sea ice,0
IPCC Fourth Assessment Report,Tide,0
IPCC Fourth Assessment Report,Transportation planning,0
IPCC Fourth Assessment Report,United Nations Environment Programme,0
IPCC Fourth Assessment Report,United States,0
IPCC Fourth Assessment Report,World Health Organization,1
Kyoto Protocol,Aggregate data,0
Kyoto Protocol,Bangladesh,0
Kyoto Protocol,Carbon sink,0
Kyoto Protocol,Caribbean,0
Kyoto Protocol,Chile,0
Kyoto Protocol,Costa Rica,0
Kyoto Protocol,Egypt,0
Kyoto Protocol,Group of 77,0
Kyoto Protocol,Liberia,0
Kyoto Protocol,Mozambique,0
Kyoto Protocol,Nauru,0
Kyoto Protocol,New Zealand,0
Kyoto Protocol,Politics of Tokyo,1
Kyoto Protocol,São Tomé and Príncipe,0
Northern Hemisphere,Arctic,0
Northern Hemisphere,Asia,0
Northern Hemisphere,Atlantic Ocean,0
Northern Hemisphere,Axial tilt,0
Northern Hemisphere,Equator,2
Northern Hemisphere,North America,0
Northern Hemisphere,Pacific Ocean,2
Northern Hemisphere,South America,0
Northern Hemisphere,South Pole,0
Northern Hemisphere,Sphere,1
Northern Hemisphere,Tropical cyclone,0
Northern Hemisphere,Tropics,2
Stratosphere,Airliner,0
Stratosphere,Altitude,1
Stratosphere,Atmosphere of Earth,2
Stratosphere,Celsius,0
Stratosphere,Concorde,0
Stratosphere,Convective overshoot,0
Stratosphere,Geographical pole,0
Stratosphere,Gravity wave,0
Stratosphere,Ivory Coast,0
Stratosphere,Léon Teisserenc de Bort,0
Stratosphere,Methane,1
Stratosphere,Northrop Grumman RQ-4 Global Hawk,0
Stratosphere,Richard Assmann,0
Stratosphere,Rossby wave,0
Troposphere,Atmosphere,0
Troposphere,Energy,0
Troposphere,Fluid statics,0
Troposphere,Gas constant,0
Troposphere,Heat,0
Troposphere,Heat capacity ratio,0
Troposphere,Ideal gas,0
Troposphere,Landform,0
Troposphere,Lapse rate,0
Troposphere,Meteorology,1
Troposphere,Pascal (unit),0
Troposphere,Vapor pressure,0
Troposphere,Water vapor,0
Troposphere,Zonal flow,0
United Nations Framework Convention on Climate Change,Earth Summit,0
United Nations Framework Convention on Climate Change,Greece,0
United Nations Framework Convention on Climate Change,Greenhouse gas inventory,0
United Nations Framework Convention on Climate Change,Human impact on the environment,2
United Nations Framework Convention on Climate Change,Iceland,0
United Nations Framework Convention on Climate Change,Indonesia,0
United Nations Framework Convention on Climate Change,Methane,0
United Nations Framework Convention on Climate Change,Montreal Protocol,0
United Nations Framework Convention on Climate Change,Nusa Dua,0
United Nations Framework Convention on Climate Change,South Africa,0
United Nations Framework Convention on Climate Change,Transition economy,0
United Nations Framework Convention on Climate Change,United Nations Convention to Combat Desertification,2
United Nations Framework Convention on Climate Change,United States,0
United Nations Framework Convention on Climate Change,Yvo de Boer,0
World Meteorological Organization,Alexander Bedritsky,0
World Meteorological Organization,BUFR,0
World Meteorological Organization,Geophysics,1
World Meteorological Organization,Hydrology,0
World Meteorological Organization,Intergovernmental organization,0
World Meteorological Organization,Intergovernmental Panel on Climate Change,0
World Meteorological Organization,List of states with limited recognition,0
World Meteorological Organization,Nauru,0
World Meteorological Organization,Palau,0
World Meteorological Organization,SYNOP,0
World Meteorological Organization,United Nations Development Group,0
World Meteorological Organization,Weather,0
