A,B,result
Meiosis,Thomas Hunt Morgan,0
Meiosis,Trisomy,2
Meiosis,United States,0
Meiosis,XYY syndrome,0
Meiosis,Zygote,0
Mitosis,Algae,0
Mitosis,Anaphase,1
Mitosis,Aneuploidy,0
Mitosis,Animal,0
Mitosis,Aspergillus nidulans,0
Mitosis,Cell cycle,1
Mitosis,Cell division,0
Mitosis,Centriole,0
Mitosis,Centromere,0
Mitosis,Centrosome,2
Mitosis,Chromosome abnormality,0
Mitosis,Cleavage furrow,0
Mitosis,Cohesin,0
Mitosis,Cytoskeleton,0
Mitosis,Deletion (genetics),0
Mitosis,DNA,1
Mitosis,Fission (biology),1
Mitosis,Flowering plant,0
Mitosis,Fluorescence,0
Mitosis,Fungus,0
Mitosis,Gene duplication,0
Mitosis,Golgi apparatus,0
Mitosis,Hydra,0
Mitosis,Interphase,0
Mitosis,Kinetochore,0
Mitosis,Meiosis,0
Mitosis,Mitogen,1
Mitosis,Molecular motor,0
Mitosis,Motor protein,0
Mitosis,Phragmoplast,0
Mitosis,Phycoplast,1
Mitosis,Prometaphase,0
Mitosis,Staining,0
Mitosis,Tubulin,0
Mitosis,Yeast,0
Nuclear envelope,Cell (biology),1
Nuclear envelope,Cell nucleus,1
Nuclear envelope,Chromosome,1
Nuclear envelope,Endoplasmic reticulum,0
Nuclear envelope,Eukaryote,0
Nuclear envelope,Lamin,0
Nuclear envelope,Lamin B receptor,0
Nuclear envelope,Lipid bilayer,1
Nuclear envelope,Metaphase,0
Nuclear envelope,Mitosis,0
Nuclear envelope,Nuclear lamina,0
Nuclear envelope,Perinuclear space,0
Nuclear envelope,Protein,0
Oogenesis,Ascaris,0
Oogenesis,Fern,0
Oogenesis,Gametogenesis,1
Oogenesis,Immature ovum,1
Oogenesis,In vitro,0
Oogenesis,Meiosis,0
Oogenesis,Mitosis,0
Oogenesis,Ovary (plants),0
Oogenesis,Plant,0
Oogenesis,Spermatogenesis,0
Oogenesis,Tetrad,0
Oogenesis,Theca of follicle,0
Sexual reproduction,Animal,0
Sexual reproduction,Cloaca,0
Sexual reproduction,Fern,0
Sexual reproduction,Flowering plant,0
Sexual reproduction,Gestation period,0
Sexual reproduction,Guppy,0
Sexual reproduction,Hermaphrodite,0
Sexual reproduction,Karyogamy,0
Sexual reproduction,Morphogenesis,0
Sexual reproduction,Nutrient,0
Sexual reproduction,Placenta,0
Sexual reproduction,Rhizome,0
Sexual reproduction,Self-pollination,0
Sexual reproduction,Sporophyte,0
Sexual reproduction,Stenian,0
SourceConceptBase,TargetConceptBase,0
Spermatozoon,Chromatin,0
Spermatozoon,Drosophila melanogaster,0
Spermatozoon,Fibrinolysin,0
Spermatozoon,Insemination,0
Spermatozoon,Ionophore,0
Spermatozoon,Micrometre,0
Spermatozoon,Model organism,0
Spermatozoon,Pollen tube,0
Spermatozoon,Semen quality,0
Spermatozoon,Somatic cell,0
Spermatozoon,Vagina,0
Spermatozoon,Y chromosome,0
Synaptonemal complex,Chromosomal crossover,0
Synaptonemal complex,Chromosome,1
Synaptonemal complex,Gene,0
Synaptonemal complex,Genetic recombination,0
Synaptonemal complex,Meiosis,1
Synaptonemal complex,Protein,1
Synaptonemal complex,Sister chromatids,0
Synaptonemal complex,Synapsis,0
