A,B,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Algebraic_expression,Subtraction,456,0,456,456,0.000551971907535022,0,1,0
Equality_(mathematics),Identity_(mathematics),964,1179,2143,215,0.00260179804757188,0.00697761127780836,1,1
Division_(mathematics),Real_number,594,0,594,594,0.000516702809767249,0,1,0
Multiplication,Commutative_property,2521,1471,3992,1050,0.0005368795351786,0.00415292709368507,1,1
Linear_function,Derivative,363,734,1097,371,0.000662106703146375,0.000482234519713471,1,1
Logarithm,Natural_number,844,0,844,844,0.000101021574689356,0,1,0
Cone,Geometry,212,92,304,120,0.000350218142951777,3.7544915145227E-06,1,1
Linear_equation,Complex_number,93,0,93,93,8.09035447061679E-05,0,1,0
Norm_(mathematics),Vector_(mathematics_and_physics),1123,163,1286,960,0.00542148026204626,0.000106324757556722,1,1
Empty_sum,Summation,154,801,955,647,0.0128376125375125,0.00117560897572316,1,1
Graph_of_a_function,Vertical_line_test,1036,815,1851,221,0.00405744655019132,0.0108607294678909,1,1
Integer,Rational_number,25152,32864,58016,7712,0.00307458321318149,0.00639942548487857,1,1
Trigonometric_tables,Trigonometry,11,6249,6260,6238,0.000390306212965263,0.0017335849699376,0,1
Associative_property,Real_number,568,0,568,568,0.000633418867183884,0,1,0
Product_(mathematics),Arithmetic,232,0,232,232,0.000959185023483495,0,1,0
Equality_(mathematics),Equation,341,2717,3058,2376,0.000920345574919099,0.00128499932368457,1,1
Trigonometry,Mathematics,4144,6163,10307,2019,0.00114962011768626,2.35550174902789E-05,1,1
Trigonometry,Trigonometric_tables,6249,11,6260,6238,0.0017335849699376,0.000390306212965263,1,0
Injective_function,Inverse_function,1625,1443,3068,182,0.00490954354840659,0.00414406290474973,1,1
Number,Division_by_zero,34,0,34,34,1.08727603073128E-06,0,0,0
Function_(mathematics),Inverse_trigonometric_functions,555,0,555,555,6.29071894529919E-05,0,1,0
Line_(geometry),Analytic_geometry,1681,876,2557,805,0.000573004565288604,0.000574576561342935,1,1
Rational_number,Multiplicative_inverse,250,985,1235,735,8.11351916753995E-05,0.00143485398721887,1,1
Zero_(complex_analysis),Complex_number,44,29,73,15,0.0307262569832402,4.26577169795806E-06,1,0
Even_and_odd_functions,Sine,699,2327,3026,1628,0.00413279333077128,0.000779815022648818,1,1
Rotation_of_axes,Conic_section,727,23,750,704,0.0111899521310163,1.56255944519628E-05,1,0
Set_(mathematics),Natural_number,2080,476,2556,1604,0.000500167243422019,0.000170614394621776,1,1
Law_of_sines,Triangle,545,1937,2482,1392,0.000536763366146482,0.000847380884364663,1,1
Division_(mathematics),Arithmetic,3069,2940,6009,129,0.00266963118379745,0.000405394001602823,1,1
Geometry,Conic_section,77,0,77,77,3.64113123989409E-06,0,1,0
Area,Geometry,316,4020,4336,3704,0.00204294054137924,0.000164054955308492,1,1
Line_(geometry),Cartesian_coordinate_system,1263,0,1263,1263,0.000430520384270974,0,1,0
Linear_function,Real_number,21,0,21,21,3.83036935704514E-05,0,0,0
Simple_harmonic_motion,Force,10,0,10,10,4.37922321338641E-05,0,0,0
Polynomial,Polynomial_long_division,603,1878,2481,1275,7.69552667840011E-05,0.00423888534018296,1,1
Secant_line,Circle,2966,1855,4821,1111,0.0192533641456401,0.000451054287726922,1,1
Unit_circle,Cartesian_coordinate_system,2009,148,2157,1861,0.00238264382143336,4.09938232279866E-05,1,1
Exponentiation,Addition,789,21,810,768,0.000205857251954405,1.02572618972027E-05,1,0
Set_(mathematics),Open_set,11,336,347,325,2.64511522963568E-06,0.00310556135794367,0,1
Floor_and_ceiling_functions,Function_(mathematics),495,0,495,495,0.00121293503323932,0,1,0
Dot_product,Mathematics,560,0,560,560,0.000451752800867365,0,1,0
Logarithm,Common_logarithm,14950,5596,20546,9354,0.00178942244266098,0.0198379920945814,1,1
Function_composition,Commutative_property,407,13,420,394,0.00104663841342989,3.67015990604391E-05,1,0
Graph_of_a_function,Function_(mathematics),2797,8065,10862,5268,0.0109543223946768,0.000765324689829988,1,1
Line_segment,Point_(geometry),2112,162,2274,1950,0.00407888155213803,0.000303524822522291,1,1
Base_(exponentiation),Nth_root,185,0,185,185,0.00531044579039527,0,1,0
Line_segment,Edge_(geometry),499,916,1415,417,0.000963713018237158,0.0142024311585215,1,1
Chord_(geometry),Line_(geometry),61,0,61,61,0.000186493014155126,0,1,0
Vector_(mathematics_and_physics),Scalar_multiplication,431,0,431,431,0.000456853814199356,0,1,0
Curve,Line_(geometry),2253,4721,6974,2468,0.00210032917276116,0.00204814018805927,1,1
Function_(mathematics),Piecewise,217,643,860,426,2.45961443446833E-05,0.0122324740797108,1,1
Exponentiation,Polynomial,411,5873,6284,5462,0.000107233625542789,0.00142764978168359,1,1
Sign_(mathematics),Absolute_value,2020,3346,5366,1326,0.0292410358854099,0.0191318070580701,1,1
Set_(mathematics),Rational_number,1093,1271,2364,178,0.000262828267817436,0.000247494820815502,1,1
Multiplication,Complex_number,644,0,644,644,0.000137148124020237,0,1,0
Analytic_geometry,Distance,67,157,224,90,7.69053295393371E-05,0.00026949921210103,1,1
Geometry,Plane_(geometry),3205,1369,4574,1836,0.000151556176933254,0.00253439201435106,1,1
Zero_of_a_function,Real_number,106,5067,5173,4961,0.000593275834084256,0.0002680557955996,1,1
Injective_function,Mathematics,299,0,299,299,0.000903356012906812,0,1,0
Line_(geometry),Asymptote,97,37,134,60,3.30645109060051E-05,0.000216373003666645,1,0
Unit_circle,Pythagorean_trigonometric_identity,2246,693,2939,1553,0.00266372226129384,0.00688025575092084,1,1
Right_triangle,Right_angle,2014,1521,3535,493,0.00365446274498419,0.0135309450310918,1,1
Amplitude,Periodic_function,4861,613,5474,4248,0.013323977403236,0.00362642498387927,1,1
Law_of_sines,Pythagorean_theorem,139,0,139,139,0.000136899280540112,0,1,0
Degree_(angle),Angle,6233,2104,8337,4129,0.0171553921271805,0.00149757604789396,1,1
Geometry,Angle,3174,0,3174,3174,0.000150090266953556,0,1,0
Multiplication,Integer,502,1604,2106,1102,0.000106907388599626,0.000211155681108057,1,1
Circle,Equation,330,0,330,330,7.22173189823661E-05,0,1,0
Equation_solving,Mathematics,137,0,137,137,0.00105709060886876,0,1,0
Complex_number,Inverse_trigonometric_functions,458,147,605,311,4.21061108929704E-05,0.000120185134161766,1,1
Inverse_function,Inverse_trigonometric_functions,3156,5363,8519,2207,0.0158611296783045,0.00438471343203776,1,1
Inequality_(mathematics),Multiplicative_inverse,20,0,20,20,3.459004740566E-05,0,0,0
Edge_(geometry),Geometry,217,0,217,217,0.00336454973951873,0,1,0
Multiplication,Logarithm,194,243,437,49,4.1314807546469E-05,7.27139758356197E-05,1,1
Monomial,Binomial,608,0,608,608,0.0189638501606313,0,1,0
Associative_property,Division_(mathematics),17,554,571,537,1.89579590530388E-05,0.000281113106416534,0,1
Logarithm,Multiplicative_inverse,311,70,381,241,3.72247745597033E-05,0.000101969318888651,1,1
Union_(set_theory),Commutative_property,232,0,232,232,0.000264843508308894,0,1,0
Angle,Triangle,866,1288,2154,422,0.000667764185169621,0.000563462353671495,1,1
Function_(mathematics),Quadratic_function,1021,0,1021,1021,0.000115726559336045,0,1,0
Calculus,Mathematics,11531,33712,45243,22181,0.00195616766211076,0.000128847436253818,1,1
Function_(mathematics),Vertical_line_test,809,858,1667,49,9.16971464278747E-05,0.0114337495502459,1,1
Complex_conjugate,Real_number,149,0,149,149,0.000970690362803667,0,1,0
Plane_(geometry),Mathematics,2052,0,2052,2052,0.0037988111128184,0,1,0
Unit_circle,Circle,1138,1681,2819,543,0.00134965090532163,0.000408745152382187,1,1
Logarithm,Real_number,3744,0,3744,3744,0.000448133620422924,0,1,0
Geometry,Curve,2984,0,2984,2984,0.000141105657400571,0,1,0
Set-builder_notation,Set_(mathematics),657,8044,8701,7387,0.0120743204748865,0.00309488055815578,1,1
Number,Real_number,13576,1565,15141,12011,0.000434142923329643,8.27920505453668E-05,1,1
Piecewise,Mathematics,167,0,167,167,0.00127082207729947,0,1,0
Image_(mathematics),Mathematics,121,0,121,121,0.00126134953976378,0,1,0
Spherical_law_of_cosines,Pythagorean_theorem,416,151,567,265,0.00479257151415306,5.17094068314633E-05,1,1
Law_of_sines,Trigonometric_functions,268,3157,3425,2889,0.000263949691976619,0.00150811837749966,1,1
Real_number,Extended_real_number_line,727,852,1579,125,7.96670334418536E-05,0.0199517598295202,1,1
Triangle,Angle,1288,866,2154,422,0.000619808561923832,0.000616397745948751,1,1
Circular_sector,Area,35,296,331,261,0.000289718311025023,0.00127576308734667,0,1
Rational_number,Number,4443,10077,14520,5634,0.0014419346264552,0.000326380831077596,1,1
Mathematics,Function_(mathematics),1207,5797,7004,4590,4.70187478550618E-06,0.000550103809912516,1,1
Algebraic_expression,Division_(mathematics),421,0,421,421,0.00050960564270229,0,1,0
Descartes'_rule_of_signs,Polynomial,134,0,134,134,0.00147868595579391,0,1,0
Exponentiation,Integer,2672,1418,4090,1254,0.000697149020560417,0.000186670047263855,1,1
Simple_harmonic_motion,Sine_wave,6185,2957,9142,3228,0.0270854955747949,0.00257642807914522,1,1
Real_line,Line_(geometry),362,0,362,362,0.00498396045874465,0,1,0
Calculus,Limit_(mathematics),4750,3437,8187,1313,0.000805810111440994,0.00616158519641958,1,1
Square_root,Natural_number,113,0,113,113,3.6066319898044E-05,0,1,0
Logistic_function,Natural_logarithm,7202,0,7202,7202,0.0395992786135304,0,1,0
Negative_number,Inequality_(mathematics),2215,0,2215,2215,0.00898343236063513,0,1,0
Asymptote,Line_(geometry),37,97,134,60,0.000216373003666645,4.20821008773033E-05,0,1
Logarithm,Natural_logarithm,33958,44357,78315,10399,0.00406456236173121,0.0114649773721973,1,1
Square_root,Exponentiation,2880,247,3127,2633,0.000919212400941299,0.000156508107690251,1,1
Polygon,Line_segment,2949,1173,4122,1776,0.00122691218778538,0.00339809903445319,1,1
Equation,Quadratic_equation,2993,499,3492,2494,0.00123288359651052,0.000239031267110016,1,1
Associative_property,Complex_number,36,0,36,36,4.01462662299645E-05,0,0,0
Exponential_growth,Exponential_function,8402,1488,9890,6914,0.00809555101199205,0.00116359723583097,1,1
Mathematical_induction,Mathematical_proof,4156,2754,6910,1402,0.0187950543139082,0.00468797077593236,1,1
Quadratic_formula,Real_number,882,0,882,882,0.000631690674970797,0,1,0
Continuous_function,Mathematics,933,404,1337,529,0.00484204954148438,1.54409006426621E-06,1,1
Arithmetic,Mathematics,15385,16483,31868,1098,0.00202275317941038,6.29981102210396E-05,1,1
Dependent_and_independent_variables,Function_(mathematics),816,0,816,816,0.00476362829688613,0,1,0
Line_(geometry),Secant_line,543,0,543,543,0.000185093086824338,0,1,0
Algebra,Number,328,11,339,317,6.97115747355902E-05,3.56275592125986E-07,1,0
Sine_wave,Mathematics,631,0,631,631,0.000733051807361885,0,1,0
Circle,Geometry,186,1094,1280,908,4.07043070627881E-05,4.46458012705199E-05,1,1
Multiplication,Common_logarithm,173,0,173,173,3.68425861110265E-05,0,1,0
Linear_equation,Equation,3152,4466,7618,1314,0.00274202121412732,0.00211218512314143,1,1
Synthetic_division,Polynomial_long_division,1742,6794,8536,5052,0.0104467766116942,0.0153349238558057,1,1
Inequality_(mathematics),Mathematics,680,0,680,680,0.00117606161179244,0,1,0
Algebraic_expression,Distributive_property,545,0,545,545,0.000659703266681112,0,1,0
Inequality_(mathematics),Equality_(mathematics),2503,1309,3812,1194,0.00432894443281834,0.00374075883965033,1,1
Prime_number,Zero_of_a_function,41,0,41,41,1.49624715667423E-05,0,0,0
Limit_of_a_function,Function_(mathematics),826,0,826,826,0.00481225785778788,0,1,0
Constant_function,Linear_function,32,425,457,393,0.000698659447185712,0.00167958298918349,1,1
Minor_(linear_algebra),Square_matrix,349,0,349,349,0.00168256830311299,0,1,0
Coordinate_system,Geometry,3353,882,4235,2471,0.00143179909206942,3.59941469109676E-05,1,1
Sine,Mathematics,697,855,1552,158,0.000382214993466153,3.26781436868221E-06,1,1
Arithmetic,Subtraction,4887,6531,11418,1644,0.000642521598165651,0.0170528871887933,1,1
Associative_property,Multiplication,110,231,341,121,0.00012266914681378,7.10586227485414E-05,1,1
Limit_of_a_sequence,Mathematics,171,0,171,171,0.00680272108843537,0,1,0
Focus_(geometry),Circle,227,2047,2274,1820,0.00384837079985081,0.000497740230176286,1,1
Exponentiation,Arithmetic,1221,1918,3139,697,0.000318569967853394,0.000264471324855175,1,1
Solution_of_triangles,Triangle,263,4658,4921,4395,0.00252719375792751,0.00203773885357285,1,1
Addition,Rational_number,112,443,555,331,3.3569227089527E-05,8.6262946987622E-05,1,1
Law_of_sines,Sine,4180,2582,6762,1598,0.00411682728530696,0.000865269612582401,1,1
Addition,Negative_number,59,0,59,59,1.76837892703758E-05,0,0,0
Constant_function,Even_and_odd_functions,201,0,201,201,0.00438845465263526,0,1,0
Set_(mathematics),Number,10,558,568,548,2.40465020875971E-06,1.80728891278454E-05,0,1
Linear_equation,Quadratic_equation,596,7098,7694,6502,0.000518478630590065,0.00340008804398175,1,1
Scalar_(mathematics),Vector_(mathematics_and_physics),4797,608,5405,4189,0.031964443970601,0.000396597868677835,1,1
Multiplication,Rational_number,774,303,1077,471,0.000164833304334882,5.90015190457098E-05,1,1
Linear_equation,Mathematics,944,0,944,944,0.000821214475297016,0,1,0
Mathematics,Continuous_function,404,933,1337,529,1.57378410384797E-06,0.00484204954148438,1,1
Perpendicular,Angle,3014,841,3855,2173,0.0064205389077415,0.000598603353744687,1,1
Algebra,Mathematics,9731,37842,47573,28111,0.00206818089558545,0.000144632317356342,1,1
Scientific_notation,Real_number,792,0,792,792,0.00242306315567263,0,1,0
Real_line,Geometry,135,0,135,135,0.0018586592871009,0,1,0
Sine,Law_of_sines,2582,4180,6762,1598,0.00141589542773258,0.00658691976406851,1,1
Multiplicative_inverse,Multiplication,1016,648,1664,368,0.00592002144259735,0.000199333279398506,1,1
Scalar_multiplication,Scalar_(mathematics),758,4079,4837,3321,0.00621775258594525,0.0362400604149083,1,1
Function_(mathematics),Nth_root,33,103,136,70,3.74042748098871E-06,0.000197009661124256,0,1
Addition,Commutative_property,2373,816,3189,1557,0.000711247998959354,0.00230373114102448,1,1
Division_(mathematics),Multiplication,4721,6234,10955,1513,0.00410665650658448,0.00191765997495414,1,1
Complex_number,Complex_conjugate,7852,6218,14070,1634,0.000721871578016602,0.0405084072208939,1,1
Mathematics,Exponentiation,12,1822,1834,1810,4.67460624905337E-08,0.00115448490773942,0,1
Euclidean_vector,Position_(vector),862,3778,4640,2916,0.00170470276470356,0.0868805335173048,1,1
Eccentricity_(mathematics),Circle,1302,1877,3179,575,0.00363628239000385,0.000456403718632578,1,1
Polynomial_long_division,Rational_root_theorem,1018,491,1509,527,0.00282800558933914,0.00139720047692627,1,1
Rational_number,E_(mathematical_constant),3158,0,3158,3158,0.00102489974124365,0,1,0
Calculus,Limit_of_a_function,5551,2708,8259,2843,0.000941695142865043,0.0157767485216581,1,1
Function_(mathematics),Injective_function,2606,4652,7258,2046,0.000295380424710805,0.0140548902075,1,1
Hyperbola,Cone,675,0,675,675,0.00219805984584274,0,1,0
Square_root,Function_(mathematics),248,287,535,39,7.91544011921674E-05,2.7234740977211E-05,1,1
Square_root,Geometry,44,0,44,44,1.40435227921587E-05,0,0,0
Set-builder_notation,Real_number,184,0,184,184,0.00338154485141418,0,1,0
Exponentiation,Function_(mathematics),21,309,330,288,5.47909035620088E-06,2.93224214702376E-05,0,1
Number,Rational_number,10077,4443,14520,5634,0.00032224942828468,0.000865160888185111,1,1
Function_(mathematics),Constant_function,699,701,1400,2,7.92290548245791E-05,0.0688672757638275,1,1
Open_set,Interval_(mathematics),9288,192,9480,9096,0.0190771569120804,0.000777022788621473,1,1
Function_composition,Function_(mathematics),1710,2267,3977,557,0.00439742429229756,0.000215125985349607,1,1
Circle,Rational_number,95,0,95,95,2.07898342524993E-05,0,1,0
Square_(algebra),Mathematics,310,0,310,310,0.00323671901102573,0,1,0
Algebraic_expression,Addition,498,0,498,498,0.0006028114253343,0,1,0
Logarithm,Complex_number,1528,10,1538,1518,0.000182892139958928,1.47095575791657E-06,1,0
Exponential_function,Real_number,40,351,391,311,1.31703198938999E-05,1.85686963203986E-05,0,1
Asymptote,Curve,533,0,533,533,0.00311694083660329,0,1,0
Circle,Chord_(geometry),3785,6094,9879,2309,0.000828310764691684,0.0186309578403498,1,1
Number,Binary_number,11,3570,3581,3559,3.51765774648356E-07,0.017488769466666,0,1
Circle,Cone,10,709,719,699,2.18840360552624E-06,0.000936999039212551,0,1
Algebraic_expression,E_(mathematical_constant),417,0,417,417,0.000504763783864263,0,1,0
Linear_equation,Number,144,0,144,144,0.000125270004706324,0,1,0
Polynomial,Real_number,264,9533,9797,9269,3.36918580944881E-05,0.00050431732769903,1,1
Line_segment,Polygon,1173,2949,4122,1776,0.00226540154387212,0.00100383732048621,1,1
Scientific_notation,E_(mathematical_constant),827,0,827,827,0.00253014296684503,0,1,0
Right_angle,Right_triangle,1521,2014,3535,493,0.0135309450310918,0.00365446274498419,1,1
Circle,Curve,1566,49,1615,1517,0.00034270400462541,4.56795958567674E-05,1,1
Square_root,Quadratic_equation,369,493,862,124,0.000117774088870604,0.000236157143657792,1,1
Multiplication,Dot_product,22,235,257,213,4.68518436093979E-06,0.000189574836078269,0,1
Natural_logarithm,Logarithm,44357,33958,78315,10399,0.0152866351792148,0.0101614040799423,1,1
Polynomial,Degree_of_a_polynomial,5223,6533,11756,1310,0.000666562783437542,0.00571568054481381,1,1
Algebraic_operation,Mathematics,301,0,301,301,0.0178932350493402,0,1,0
Differential_equation,Equation,3579,2214,5793,1365,0.00243817532653769,0.00104710655231418,1,1
Natural_number,Rational_number,8714,25882,34596,17168,0.00374806822223971,0.00503985912851835,1,1
Square_root,Algebra,11,0,11,11,3.51088069803968E-06,0,0,0
Function_(mathematics),Zero_of_a_function,262,0,262,262,2.96967272733043E-05,0,1,0
Curve,Mathematics,1053,0,1053,1053,0.000981645192595431,0,1,0
Floor_and_ceiling_functions,Real_number,991,0,991,991,0.00242832044028317,0,1,0
Angle,Degree_(angle),2104,6233,8337,4129,0.0016223739556546,0.0285922677480321,1,1
Even_and_odd_functions,Division_(mathematics),551,0,551,551,0.0032577526827682,0,1,0
Circle,Unit_circle,1681,1138,2819,543,0.000367870646088962,0.00337412126081839,1,1
Linear_equation,Linear_inequality,1791,1114,2905,677,0.00155804568353491,0.0185626447603019,1,1
Product_(mathematics),Mathematics,584,0,584,584,0.00241450023152742,0,1,0
Number,Negative_number,3157,0,3157,3157,0.000100956777324078,0,1,0
Imaginary_number,Number,82,457,539,375,0.000127040195827814,1.4801631418325E-05,0,1
Division_(mathematics),Distributive_property,306,0,306,306,0.000266180235334643,0,1,0
Linear_function,Calculus,876,212,1088,664,0.00159781121751026,2.21320492012157E-05,1,1
Multiplicative_inverse,Division_(mathematics),661,0,661,661,0.00385151001334336,0,1,0
Arithmetic,Addition,6415,4424,10839,1991,0.000843416421574106,0.0021608631730107,1,1
Natural_logarithm,Base_(exponentiation),1612,0,1612,1612,0.000555539281486447,0,1,0
Square_root,Mathematics,2652,0,2652,2652,0.000846441419200113,0,1,0
Slope,Mathematics,1154,0,1154,1154,0.0050049659324026,0,1,0
Function_(mathematics),Natural_logarithm,249,127,376,122,2.82232255383694E-05,3.28257575189724E-05,1,1
Logarithm,Binary_logarithm,9345,2787,12132,6558,0.0011185386439242,0.0147067359700272,1,1
Synthetic_division,Polynomial,225,0,225,225,0.00134932533733133,0,1,0
Product_(mathematics),Multiplication,15395,2607,18002,12788,0.0636493682608983,0.000801947313876395,1,1
Identity_matrix,Square_matrix,2125,446,2571,1679,0.0117519535894614,0.00401599193199827,1,1
Formula,Mathematics,742,32,774,710,0.024187502037357,1.22304163506235E-07,1,0
Scalar_multiplication,Mathematics,20,0,20,20,0.000164056796462935,0,0,0
Angle,Right_triangle,11,1843,1854,1832,8.48199311416377E-06,0.00334417817229685,0,1
Complex_number,Nth_root,590,923,1513,333,5.42414965651802E-05,0.00176543608949212,1,1
Square_root,Complex_number,4811,3963,8774,848,0.00153553154893354,0.000582939766862338,1,1
Number,Natural_number,26067,4332,30399,21735,0.000833588949796244,0.00155273436449902,1,1
Cartesian_coordinate_system,Coordinate_system,14177,16402,30579,2225,0.00824632050772718,0.0098055802491868,1,1
Scalar_multiplication,Matrix_(mathematics),257,1852,2109,1595,0.00210812983454872,0.000476954373339384,1,1
Complex_number,Quadratic_equation,18,1695,1713,1677,1.6548253189377E-06,0.000811939875253462,0,1
Graph_of_a_function,Slope,525,0,525,525,0.00205613845448884,0,1,0
Geometry,Plane_curve,643,0,643,643,3.04058102240506E-05,0,1,0
Scalar_multiplication,Vector_space,794,3790,4584,2996,0.00651305481957854,0.00569820273573871,1,1
Law_of_sines,Trigonometry,2288,6039,8327,3751,0.00225342125090486,0.0016753271937035,1,1
Focus_(geometry),Conic_section,2273,2387,4660,114,0.0385345675244973,0.00162166495464501,1,1
Polygon,Triangle,5869,9845,15714,3976,0.00244175911499233,0.00430689974526077,1,1
