A,B,result
Multiplication,Function_(mathematics),0
Addition,Polynomial_long_division,0
Addition,Mathematics,1
Mathematics,Algebraic_equation,0
Matrix_(mathematics),Triangular_matrix,0
Logarithm,Number,1
Circle,Analytic_geometry,0
Polynomial,Number,1
Exponential_function,Mathematics,1
Range_(statistics),Graph_of_a_function,0
Real_number,Nth_root,0
Even_and_odd_functions,Mathematics,1
Trigonometry,Geometry,1
Number,Integer,0
Point_(geometry),Radius,0
Quadratic_formula,Equation,1
Focus_(geometry),Ellipse,0
Polynomial,Function_(mathematics),0
Coordinate_system,Real_number,0
System_of_linear_equations,Equality_(mathematics),1
Mathematics,Inverse_trigonometric_functions,0
Plane_curve,Geometry,1
Line_(geometry),Transformation_(function),0
Function_composition,Even_and_odd_functions,0
Base_(exponentiation),Arithmetic,1
Binomial,Arithmetic,1
Mathematics,Empty_sum,0
Associative_property,Function_(mathematics),0
Scalar_(mathematics),Vector_space,1
Circle,Quadratic_equation,0
Partial_fraction_decomposition,Multiplication,1
Function_(mathematics),Equation_solving,0
Universal_quantification,Existential_quantification,0
Square_root,Set_(mathematics),0
Addition,Multiplication,0
Descartes'_rule_of_signs,Rational_root_theorem,0
Arithmetic,Common_logarithm,0
Rectangle,Mathematics,1
Perpendicular,Focus_(geometry),0
Triangular_matrix,Matrix_(mathematics),1
Exponentiation,Algebraic_expression,0
Inverse_trigonometric_functions,Trigonometry,1
Integer,Binomial_coefficient,0
Open_set,Real_number,0
Set_(mathematics),Real_line,0
Secant_line,Slope,0
Number,Quadratic_formula,0
Trigonometric_functions,Trigonometric_substitution,0
Unit_circle,Complex_number,0
Law_of_sines,Perpendicular,0
Polynomial_long_division,Degree_of_a_polynomial,1
Logarithm,E_(mathematical_constant),0
Geometry,Line–line_intersection,0
Mathematics,Simultaneous_equations,0
Cylinder_(geometry),Mathematics,1
Commutative_property,Subtraction,0
Determinant,Minor_(linear_algebra),0
Inverse_trigonometric_functions,Geometry,1
Circle,Real_line,0
Number,Exponentiation,0
Secant_line,Derivative,0
Linear_equation,Geometry,1
Multiplication,Linear_inequality,0
Amplitude,Sine_wave,0
Point_(geometry),Geometry,1
Polynomial,Mathematics,1
Descartes'_rule_of_signs,Addition,1
Scalar_multiplication,Number,1
Interval_(mathematics),Real_number,0
Real_line,Rational_number,1
Common_logarithm,Mathematics,1
Curve,Cone,0
Natural_logarithm,Inequality_(mathematics),0
Addition,Number,1
Spherical_law_of_cosines,Mathematics,1
Law_of_sines,Point_(geometry),1
Binary_logarithm,Number,1
Exponentiation,Fundamental_theorem_of_algebra,0
Perpendicular,Parallel_(geometry),0
Euclidean_vector,Geometry,0
Equality_(mathematics),System_of_linear_equations,0
Square_matrix,Elementary_matrix,0
Number,Matrix_multiplication,0
Square_root,Algebraic_expression,0
Limit_of_a_function,Calculus,1
Logarithm,Scientific_notation,0
Force,Work_(physics),0
Cartesian_coordinate_system,Angle,1
Common_logarithm,Base_(exponentiation),1
Mathematics,Complex_plane,0
Mathematics,Angle,0
Determinant,Main_diagonal,0
Addition,Sum,0
Geometry,Trigonometry,0
Matrix_(mathematics),Vector_field,0
Equation,Parametric_equation,0
Complex_number,Number,1
Binomial,Binomial_coefficient,0
Set_(mathematics),Commutative_property,0
Quadratic_function,Graph_of_a_function,0
Mathematics,Analytic_geometry,0
Integer,Binomial,0
Number,Algebra,0
Degree_(angle),Minute_and_second_of_arc,0
Geometry,Trigonometric_tables,0
Geometry,Mathematics,1
Image_(mathematics),Vector_field,0
Angle,Right_angle,0
Circle,Eccentricity_(mathematics),0
Degree_of_a_polynomial,Polynomial,1
Position_(vector),Euclidean_vector,1
Mathematics,Even_and_odd_functions,0
Monotonic_function,Mathematics,1
Mathematics,Real_line,0
Periodic_function,Mathematics,1
Mathematics,Line_segment,0
Exponential_growth,Function_(mathematics),1
Range_(statistics),Mathematics,1
Multiplication,Synthetic_division,0
Algebraic_operation,Algebra,1
Polar_coordinate_system,Geometry,1
Function_(mathematics),Domain_of_a_function,0
Mathematics,Binomial_coefficient,0
Number,Cartesian_coordinate_system,0
Basis_(linear_algebra),Mathematics,1
Mathematics,Rectangle,0
Equation,Inequality_(mathematics),0
Polynomial,Equation,0
Equation_solving,Number,1
Addition,Integer,0
Triangle,Point_(geometry),1
Addition,Binomial_theorem,0
Mathematics,Product_(mathematics),0
Polynomial_long_division,Polynomial,1
Polygon,Solution_of_triangles,0
Vector_field,Real_number,0
Addition,Rational_root_theorem,0
Complex_number,Multiplicative_inverse,0
Linear_inequality,Mathematics,1
Natural_number,Set-builder_notation,0
Fundamental_theorem_of_algebra,Mathematics,1
Natural_logarithm,Common_logarithm,0
Scientific_notation,Base_(exponentiation),0
Logarithm,Sine,0
Circle,Circular_motion,0
Mathematics,Geometric_series,0
Real_number,Complex_conjugate,0
Polynomial_long_division,Number,1
Rational_function,Real_number,0
Solution_of_triangles,Angle,1
Trigonometry,Sine,0
Cone,Mathematics,1
Law_of_sines,Area,0
Geometry,Radius,0
Mathematics,Algebraic_expression,0
Square_(algebra),Square_root,0
Algebraic_equation,Number,1
Arithmetic,Formula,0
Equation,Linear_inequality,0
Perpendicular,Cone,0
Equality_(mathematics),Algebraic_equation,0
Base_(exponentiation),Number,1
Linear_function,Analytic_geometry,0
Mathematics,Synthetic_division,0
Trigonometric_substitution,Trigonometric_functions,1
Nth_root,Square_root,0
Multiplication,Multiplicative_inverse,0
Algebraic_expression,Polynomial,1
Monomial,Change_of_variables,0
Line_segment,Right_triangle,0
Multiplication,Binomial_coefficient,0
Square_matrix,Identity_matrix,0
Sine,Cartesian_coordinate_system,0
Rational_number,Sine,0
Identity_matrix,Elementary_matrix,0
Range_(statistics),Image_(mathematics),0
Radius,Line_(geometry),1
Line_(geometry),Equation,0
Mathematics,Base_(exponentiation),0
Mathematics,Trigonometric_substitution,0
Sine,Sine_wave,0
Dot_product,Multiplication,1
Integer,Binomial_theorem,0
Linear_function,Equation,0
Equality_(mathematics),Linear_equation,0
Real_line,Mathematics,1
Cross_product,Number,1
Asymptote,Polynomial_long_division,0
Geometry,Pythagorean_trigonometric_identity,0
Geometric_series,Calculus,1
Scalar_multiplication,Multiplication,1
Circular_motion,Geometry,1
Circular_sector,Mathematics,1
Number,Extended_real_number_line,0
Matrix_ring,Number,1
Number,Factorization,0
Parametric_equation,Mathematics,1
Angle,Analytic_geometry,0
Calculus,Linear_function,0
Maxima_and_minima,Real_number,0
Mathematics,Circle,0
Addition,Binomial,0
Quadratic_formula,Quadratic_equation,1
E_(mathematical_constant),Base_(exponentiation),0
Limit_(mathematics),Work_(physics),0
Product_topology,Arithmetic,1
Expression_(mathematics),Mathematics,1
Algebraic_expression,Rational_number,0
Number,Distributive_property,0
Division_(mathematics),Number,1
Common_logarithm,Multiplication,1
Addition,Homogeneous_polynomial,0
Natural_number,Real_number,0
Function_(mathematics),Even_and_odd_functions,0
Synthetic_division,Integer,1
Inequality_(mathematics),Equation,1
Equality_(mathematics),Mathematics,1
Line_(geometry),Cone,0
Number,Addition,0
Geometry,Inverse_trigonometric_functions,0
Real_number,Domain_of_a_function,0
Polynomial_long_division,Division_(mathematics),1
Matrix_multiplication,Vector_(mathematics_and_physics),0
Sine_wave,Sine,1
Commutative_property,Function_(mathematics),0
Transformation_(function),Geometry,0
Line_segment,Cylinder_(geometry),0
Range_(statistics),Domain_of_a_function,0
Rationalisation_(mathematics),Nth_root,0
Trigonometry,Law_of_sines,0
Square_root,Cartesian_coordinate_system,0
Number,Differential_equation,0
Polynomial,Quadratic_formula,0
Mathematics,Division_by_zero,0
Mathematics,Series_(mathematics),0
Exponential_function,Scientific_notation,0
Real_number,Closed_set,0
Secant_line,Calculus,0
Binomial_theorem,Integer,1
Vertical_line_test,Function_(mathematics),1
Exponentiation,Common_logarithm,0
Scalar_(mathematics),Real_number,0
Mathematics,Formula,0
Binary_logarithm,Base_(exponentiation),1
Rational_root_theorem,Number,1
Exponential_function,Exponentiation,1
Number,Common_logarithm,0
Angle,Mathematics,1
Geometry,Trigonometric_substitution,0
Complex_number,Natural_number,0
Plane_(geometry),Polar_coordinate_system,0
Division_(mathematics),Synthetic_division,0
Real_line,Number,1
Exponentiation,Set_(mathematics),0
Integer,Degree_of_a_polynomial,0
Subtraction,Arithmetic,1
Product_(mathematics),Dot_product,0
Right_angle,Mathematics,1
Multiplication,Scientific_notation,0
Number,Polar_coordinate_system,0
Solution_of_triangles,Mathematics,1
Integer,Set_(mathematics),0
Exponential_function,Logarithm,0
Minute_and_second_of_arc,Angle,0
Plane_curve,Plane_(geometry),1
Even_and_odd_functions,Graph_of_a_function,0
Exponentiation,Exponential_growth,0
Function_(mathematics),Real_number,0
Pythagorean_trigonometric_identity,Pythagorean_theorem,1
E_(mathematical_constant),Natural_logarithm,0
Function_(mathematics),Monotonic_function,0
Quadratic_equation,Mathematics,1
Equation,Differential_equation,0
Geometry,Rotation_of_axes,0
Edge_(geometry),Line_segment,1
Vector_(mathematics_and_physics),Calculus,0
Solution_of_triangles,Trigonometry,1
Function_(mathematics),Inverse_function,0
Polynomial,Multiplication,1
Square_root,Square_(algebra),1
Dependent_and_independent_variables,Mathematics,1
Mathematics,Eccentricity_(mathematics),0
Mathematics,Ellipse,0
Coordinate_system,Rotation_of_axes,0
Matrix_ring,Mathematics,1
Geometry,Perpendicular,0
Exponential_function,Multiplication,1
Cubic_function,Function_(mathematics),1
Quadrant_(plane_geometry),Number,1
Polynomial,Homogeneous_polynomial,0
Number,Coordinate_system,0
Interval_(mathematics),Empty_set,0
Coordinate_system,Equation,0
Number,System_of_linear_equations,0
Cartesian_coordinate_system,Distance,1
Mathematics,Unit_circle,0
Geometry,Line_segment,0
Zero_of_a_function,Mathematics,1
Exponentiation,Rational_number,0
Semi-major_axis,Work_(physics),0
Number,Binomial,0
Arithmetic,Rational_root_theorem,0
Amplitude,Displacement_(vector),0
Trigonometry,Inverse_trigonometric_functions,0
Exponentiation,Exponential_function,0
Logarithm,Addition,0
Algebra,Algebraic_expression,0
Secant_line,Line_(geometry),1
Exponentiation,Degree_of_a_polynomial,0
Line_(geometry),Conic_section,0
Perpendicular,Cartesian_coordinate_system,0
Mathematics,Differential_equation,0
Complex_number,Identity_(mathematics),0
Pythagorean_theorem,Mathematics,1
Equation_solving,Domain_of_a_function,0
Addition,Matrix_ring,0
Rational_root_theorem,Equation_solving,1
Logarithm,Identity_(mathematics),0
Mathematics,Cubic_function,0
Mathematics,Identity_(mathematics),0
Geometry,Orientation_(geometry),0
Equation,System_of_linear_equations,0
Square_(algebra),Number,1
Perpendicular,Line_(geometry),1
Mathematics,Logarithm,0
Geometry,Unit_circle,0
Geometry,Circular_motion,0
Open_set,Set_(mathematics),1
Rational_root_theorem,Rational_number,1
Rotation_(mathematics),Mathematics,1
Geometry,Rectangle,0
Quadratic_equation,Nth_root,0
Rotation_of_axes,Ellipse,0
Transformation_(function),Coordinate_system,0
Equation,Geometry,0
Mathematics,Cartesian_coordinate_system,0
Range_(statistics),Limit_(mathematics),0
Trigonometry,Pythagorean_trigonometric_identity,0
Integer,Algebraic_expression,0
Mathematics,Rotation_(mathematics),0
Algebraic_expression,Arithmetic,1
Prime_number,Polynomial_long_division,0
Polynomial,Rational_root_theorem,0
Minor_(linear_algebra),Matrix_(mathematics),1
Linear_function,Mathematics,1
Complex_number,Subtraction,0
Radius,Geometry,1
Floor_and_ceiling_functions,Binomial_coefficient,0
Vertical_line_test,Geometry,1
Synthetic_division,Factorization,0
Binomial_theorem,Polynomial,1
Matrix_(mathematics),Vector_(mathematics_and_physics),0
Parallel_(geometry),Line_(geometry),1
Polynomial,Addition,1
Matrix_(mathematics),Square_matrix,0
Multiplication,Empty_set,0
Sign_(mathematics),Inverse_element,0
Synthetic_division,Mathematics,1
Negative_number,Subtraction,0
Binomial,Number,1
Perpendicular,Analytic_geometry,0
Circular_sector,Curve,1
Radius,Line_segment,1
Linear_equation,Line_(geometry),1
Natural_logarithm,E_(mathematical_constant),1
Zero_of_a_function,Graph_of_a_function,0
Circle,Conic_section,0
Parity_(mathematics),Square_(algebra),0
Imaginary_number,Real_number,1
Coordinate_system,Vector_field,0
Binary_number,Number,1
Line_segment,Transformation_(function),0
Arithmetic,Product_(mathematics),0
Distance,Cartesian_coordinate_system,0
Right_angle,Angle,1
Symmetry,Geometry,0
Binary_logarithm,Common_logarithm,0
Integer,Function_(mathematics),0
Matrix_ring,Addition,1
Ellipse,Curve,1
Binomial_coefficient,Binomial_theorem,1
Edge_(geometry),Line_(geometry),1
Geometry,Sine,0
Angle,Solution_of_triangles,0
Linear_equation,Graph_of_a_function,0
Geometry,Line_(geometry),0
Triangle,Geometry,1
Equation,Algebraic_equation,0
Addition,Equation,0
Infinity,Limit_(mathematics),0
Polynomial,Integer,1
Vector_(mathematics_and_physics),Position_(vector),0
Law_of_sines,Spherical_law_of_cosines,0
Number,Product_(mathematics),0
Partial_fraction_decomposition,Polynomial_long_division,0
Linear_equation,Change_of_variables,0
Cartesian_coordinate_system,Perpendicular,1
Polynomial,Fundamental_theorem_of_algebra,0
Base_(exponentiation),Common_logarithm,0
Geometry,Eccentricity_(mathematics),0
Domain_of_a_function,Cartesian_coordinate_system,0
Polynomial,Linear_function,0
Mathematics,Arithmetic_mean,0
Function_(mathematics),Limit_of_a_function,0
Fundamental_theorem_of_algebra,Real_number,1
Algebraic_expression,Subtraction,0
Equality_(mathematics),Identity_(mathematics),0
Cross_product,Real_number,0
Division_(mathematics),Real_number,0
Number,Linear_inequality,0
Mathematics,Summation,0
Multiplication,Commutative_property,0
Linear_function,Derivative,0
Multiplication,Binary_logarithm,0
Logarithm,Natural_number,0
Cone,Geometry,1
Linear_equation,Complex_number,0
Norm_(mathematics),Vector_(mathematics_and_physics),1
Empty_sum,Summation,1
Transformation_(function),Circle,0
Graph_of_a_function,Vertical_line_test,0
Integer,Rational_number,0
Trigonometric_tables,Trigonometry,1
Associative_property,Real_number,0
Equation_solving,Empty_set,0
Cross_product,Arithmetic,1
Binary_logarithm,Arithmetic,1
Point_(geometry),Chord_(geometry),0
Prime_number,Binary_logarithm,0
Product_(mathematics),Arithmetic,1
Equality_(mathematics),Equation,0
Mathematics,Product_topology,0
Binomial_theorem,Mathematics,1
Line_segment,Solution_of_triangles,0
Division_(mathematics),Inequality_(mathematics),0
Matrix_multiplication,Main_diagonal,0
Trigonometry,Mathematics,1
Trigonometry,Trigonometric_tables,0
Number,Algebraic_operation,0
Complex_number,Division_(mathematics),0
Unit_circle,Curve,1
Law_of_sines,Circle,0
Arithmetic,Exponential_function,0
Injective_function,Inverse_function,0
Trigonometric_tables,Geometry,1
Right_triangle,Geometry,1
Number,Division_by_zero,0
Polygon,Mathematics,1
Mathematics,Transformation_(function),0
Function_(mathematics),Inverse_trigonometric_functions,0
Trigonometric_tables,Mathematics,1
Pythagorean_theorem,Inverse_trigonometric_functions,0
Associative_property,Addition,0
Matrix_(mathematics),Matrix_multiplication,0
Algebraic_expression,Real_number,0
Rational_number,Equation_solving,0
Plane_(geometry),Plane_curve,0
Geometric_progression,Geometry,0
Scalar_multiplication,Elementary_matrix,0
Mathematics,Piecewise,0
Exponentiation,Cartesian_coordinate_system,0
Multiplication,Polynomial,0
Linear_equation,Vertical_line_test,0
E_(mathematical_constant),Real_number,0
Equation_solving,Equality_(mathematics),1
Mathematics,Multiplicative_inverse,0
Function_(mathematics),Inequality_(mathematics),0
Even_and_odd_functions,Function_(mathematics),1
Complex_number,Set_(mathematics),0
Circle,Line_(geometry),1
Division_by_zero,Division_(mathematics),1
Identity_(mathematics),Mathematics,1
Interval_(mathematics),Closed_set,0
Analytic_geometry,Geometry,1
Coordinate_system,Number,1
Equation,Function_(mathematics),0
Integer,Natural_number,0
Matrix_(mathematics),Matrix_ring,0
Binomial,Calculus,0
Cross_product,Mathematics,1
Sum,Arithmetic,1
Multiplication,Product_(mathematics),0
Exponentiation,Identity_(mathematics),0
Arithmetic,Matrix_ring,0
Floor_and_ceiling_functions,Series_(mathematics),0
Real_number,Graph_of_a_function,0
Geometry,Origin_(mathematics),0
Polynomial,Binomial,0
Degree_of_a_polynomial,Polynomial_long_division,0
Mathematics,Exponential_function,0
Number,Cross_product,0
Complex_number,Rational_number,0
Absolute_value,Real_number,1
Work_(physics),Calculus,0
Associative_property,Exponentiation,0
Mathematics,Sine,0
Matrix_(mathematics),Determinant,0
Cartesian_coordinate_system,Number,1
Function_(mathematics),Transformation_(function),0
Number,Multiplication,0
Mathematics,Mathematical_proof,0
Associative_property,Algebraic_expression,0
Chord_(geometry),Curve,1
Mathematics,Calculus,0
Product_(mathematics),Cross_product,0
E_(mathematical_constant),Number,1
Exponentiation,Binary_logarithm,0
Exponentiation,Number,1
Rational_number,Rational_root_theorem,0
Mathematics,Operation_(mathematics),0
Plane_(geometry),Complex_plane,0
Graph_of_a_function,Quadrant_(plane_geometry),0
Limit_(mathematics),Limit_of_a_function,0
Partial_fraction_decomposition,Integer,1
Multiplication,Scalar_multiplication,0
Fundamental_theorem_of_algebra,Equation,1
Addition,Inequality_(mathematics),0
Inverse_function,Change_of_variables,0
Plane_curve,Asymptote,0
Hyperbola,Rotation_of_axes,0
Descartes'_rule_of_signs,Real_number,0
Number,Absolute_value,0
Set_(mathematics),Set-builder_notation,0
Differential_equation,Equality_(mathematics),1
Analytic_geometry,Plane_(geometry),1
Geometry,Linear_equation,0
Complex_number,Equation,0
Square_root,Pythagorean_theorem,0
Binary_logarithm,Exponentiation,1
Number,Parametric_equation,0
Set_(mathematics),Equation_solving,0
Point_(geometry),Solution_of_triangles,0
Invertible_matrix,Matrix_(mathematics),1
Addition,Algebraic_expression,0
Complex_number,Commutative_property,0
Pythagorean_theorem,Rational_number,0
Binary_logarithm,Scientific_notation,0
Complex_number,Rational_function,0
Product_topology,Product_(mathematics),1
Semi-major_axis,Hyperbola,0
Line_segment,Spherical_law_of_cosines,0
Arithmetic,Arithmetic_mean,0
Polynomial,Zero_of_a_function,0
Multiplication,Rational_root_theorem,0
Addition,Arithmetic,1
Set_(mathematics),Closed_set,0
Exponential_growth,Mathematics,1
Inverse_element,Sign_(mathematics),1
Rational_root_theorem,Arithmetic,1
Secant_line,Interval_(mathematics),0
Quadrant_(plane_geometry),Mathematics,1
System_of_linear_equations,Geometry,1
Vector_field,Derivative,0
Ellipse,Line_(geometry),1
Complex_number,Complex_conjugate,0
Matrix_multiplication,Arithmetic,1
Mathematics,Exponentiation,0
Number,Natural_logarithm,0
Euclidean_vector,Position_(vector),0
Eccentricity_(mathematics),Circle,1
Spherical_law_of_cosines,Trigonometry,1
Force,Simple_harmonic_motion,0
Polynomial_long_division,Rational_root_theorem,0
Rational_number,E_(mathematical_constant),0
Linear_inequality,Algebra,1
Addition,Degree_of_a_polynomial,0
Solution_of_triangles,Line_segment,1
System_of_linear_equations,Equation,1
Calculus,Limit_of_a_function,0
Unit_circle,Line_(geometry),1
Function_(mathematics),Injective_function,0
Hyperbola,Cone,0
Mathematics,Curve,0
Geometry,Right_angle,0
Natural_logarithm,Mathematics,1
Square_root,Function_(mathematics),0
Polygon,Point_(geometry),1
Square_root,Geometry,0
Curve,Eccentricity_(mathematics),0
Number,Base_(exponentiation),0
Number,Basis_(linear_algebra),0
Triangle,Mathematics,1
Square_root,Quadratic_function,0
Function_(mathematics),Dependent_and_independent_variables,0
Set-builder_notation,Real_number,0
Exponentiation,Function_(mathematics),0
Number,Rational_number,0
Function_(mathematics),Constant_function,0
Multiplication,Number,1
Mathematics,Radius,0
Open_set,Interval_(mathematics),0
Function_composition,Function_(mathematics),1
Quadratic_equation,Negative_number,0
Mathematics,Homogeneous_polynomial,0
Circle,Rational_number,0
Linear_equation,Equality_(mathematics),1
Square_(algebra),Mathematics,1
Algebraic_expression,Addition,1
Polynomial_long_division,Addition,1
Addition,Elementary_matrix,0
Mathematics,Square_root,0
Division_by_zero,Number,1
Logarithm,Complex_number,0
Exponential_function,Real_number,0
Asymptote,Curve,1
Circle,Chord_(geometry),0
Number,Binary_number,0
Negative_number,Distance,0
Circle,Cone,0
Number,Binary_logarithm,0
Algebraic_expression,E_(mathematical_constant),0
Linear_equation,Number,1
Natural_logarithm,Multiplication,1
Polynomial,Real_number,0
Degree_of_a_polynomial,Algebraic_expression,0
Quadratic_equation,Equality_(mathematics),1
Line_segment,Polygon,0
Equality_(mathematics),Fundamental_theorem_of_algebra,0
Scientific_notation,E_(mathematical_constant),0
Algebraic_expression,Square_(algebra),1
Mathematics,Floor_and_ceiling_functions,0
Analytic_geometry,Equality_(mathematics),1
Integer,Polynomial_long_division,0
Right_angle,Right_triangle,0
Set_(mathematics),Distance,0
Circle,Curve,1
Number,Binomial_theorem,0
Arithmetic,Quadratic_formula,0
Point_(geometry),Origin_(mathematics),0
Square_root,Quadratic_equation,0
Binomial_coefficient,Addition,1
Open_set,Domain_of_a_function,0
Arithmetic,Binary_logarithm,0
Polynomial_long_division,Factorization,0
Multiplication,Dot_product,0
Natural_logarithm,Logarithm,1
Mathematics,Descartes'_rule_of_signs,0
Sine_wave,Trigonometry,1
Algebra,Square_root,0
Polynomial,Degree_of_a_polynomial,0
Natural_number,Negative_number,0
Algebraic_operation,Mathematics,1
Factorization,Arithmetic,1
Mathematics,Constant_function,0
Differential_equation,Equation,1
Multiplication,Real_line,0
Natural_number,Rational_number,0
Square_root,Inverse_trigonometric_functions,0
Square_root,Algebra,1
Line_(geometry),Vertical_line_test,0
Number,Equation_solving,0
Fundamental_theorem_of_algebra,Addition,1
Basis_(linear_algebra),Algebra,1
Synthetic_division,Number,1
Polynomial,Partial_fraction_decomposition,0
Function_(mathematics),Zero_of_a_function,0
Rational_root_theorem,Integer,1
Base_(exponentiation),Binary_logarithm,0
Partial_fraction_decomposition,Mathematics,1
Imaginary_number,Square_(algebra),0
Parallel_(geometry),Slope,0
Algebra,Algebraic_operation,0
Exponentiation,Natural_number,0
