A,B,column1
Perpendicular,Vertex_(geometry),0
Vertex_(geometry),Rectangle,0
Square,Trapezoid,0
Rhombus,Kite_(geometry),0
Rotational_symmetry,Line_(geometry),1
Inverse_trigonometric_functions,Geometry,1
Perpendicular,Internal_and_external_angle,0
Quadrilateral,Reflection_symmetry,0
Similarity_(geometry),Polygon,0
Vertex_(geometry),Prism_(geometry),0
Point_(geometry),Geometry,1
Rhombus,Triangle,0
Circle,Internal_and_external_angle,0
Isosceles_triangle,Geometry,1
Pythagorean_triple,Angle,1
Polyhedron,Diagonal,0
Reflection_symmetry,Point_(geometry),1
Parallelogram,Rectangle,0
Face_(geometry),Plane_(geometry),0
Parallelogram,Line_segment,1
Collinearity,Midpoint,0
Right_triangle,Diameter,0
Circumference,Distance,0
Arc_(geometry),Diameter,0
Rhombus,Geometry,1
Cartesian_coordinate_system,Angle,1
Parallel_(geometry),Circle,0
Perpendicular,Chord_(geometry),0
Point_(geometry),Transversal_(geometry),0
Tangent,Isosceles_triangle,0
Angle,Transversal_(geometry),0
Equilateral_triangle,Line_(geometry),1
Trapezoid,Line_(geometry),1
Line_(geometry),Rectangle,0
Bisection,Line_segment,1
Geometry,Pentagon,0
Right_angle,Rectangle,0
Rectangle,Translation_(geometry),0
Similarity_(geometry),Circle,0
Congruence_(geometry),Vertex_(geometry),1
Right_angle,Triangle,0
Point_(geometry),Decagon,0
Line_(geometry),Angle_bisector_theorem,0
Exterior_angle_theorem,Midpoint,0
Square,Symmetry,0
Perpendicular,Angle_bisector_theorem,0
Symmetry,Geometry,1
Angle,Right_angle,0
Prism_(geometry),Distance,0
Midpoint,Angle,0
Line_(geometry),Midpoint,0
Heptagon,Polygon,1
Square,Octagon,0
Radius,Sphere,0
Diameter,Line_(geometry),1
Line_segment,Rhombus,0
Point_(geometry),Tangent,0
Point_(geometry),Diameter,0
Rectangle,Polygon,1
Bisection,Diagonal,0
Polygon,Angle,1
Prism_(geometry),Line_(geometry),1
Symmetry,Rotational_symmetry,0
Collinearity,Tangent,0
Diagonal,Edge_(geometry),1
Line_(geometry),Tangent,0
Triangle,Point_(geometry),1
Triangle_inequality,Line_(geometry),1
Angle,Trigonometric_functions,0
Circle,Decagon,0
Vertex_(geometry),Triangle_inequality,0
Polygon,Nonagon,0
Geometry,Tangent,0
Acute_and_obtuse_triangles,Edge_(geometry),1
Triangle,Equilateral_triangle,0
Angle,Square,0
Triangle,Triangle_inequality,0
Vertex_(geometry),Parallelogram,0
Line_segment,Congruence_(geometry),0
Triangle,Pythagorean_theorem,0
Edge_(geometry),Pythagorean_triple,0
Line_segment,Inverse_trigonometric_functions,0
Collinearity,Altitude_(triangle),0
Line_segment,Quadrilateral,0
Pentagon,Diagonal,0
Bisection,Parallelogram,0
Two-dimensional_space,Coordinate_system,0
Trigonometric_functions,Tangent,0
Dodecagon,Geometry,1
Hendecagon,Line_(geometry),1
Geometry,Radius,0
Rotation_(mathematics),Space_(mathematics),0
Rotation_(mathematics),Rotational_symmetry,0
Angle,Acute_and_obtuse_triangles,0
Diameter,Distance,0
Transversal_(geometry),Congruence_(geometry),0
Pythagorean_theorem,Isosceles_triangle,0
Decagon,Line_segment,1
Line_segment,Right_triangle,0
Edge_(geometry),Point_(geometry),1
Dodecagon,Hexagon,0
Point_(geometry),Rotational_symmetry,0
Sine,Cartesian_coordinate_system,0
Pythagorean_theorem,Point_(geometry),1
Edge_(geometry),Star_polygon,0
Radius,Line_(geometry),1
Convex_polygon,Angle,1
Sphere,Polyhedron,0
Trigonometric_functions,Right_triangle,0
Polygon,Hexagon,0
Square,Circle,0
Tangent,Triangle,1
Geometry,Hendecagon,0
Heptagon,Edge_(geometry),1
Rectangle,Vertex_(geometry),1
Reflection_symmetry,Perpendicular,0
Reflection_symmetry,Rotational_symmetry,0
Point_(geometry),Vertex_(geometry),0
Prism_(geometry),Parallelogram,0
Rotation_(mathematics),Point_(geometry),1
Rigid_transformation,Line_(geometry),1
Collinearity,Distance,0
Rhombus,Line_segment,1
Polygon,Pentagon,0
Kite_(geometry),Quadrilateral,1
Vertex_(geometry),Point_(geometry),1
Parallelogram,Tessellation,0
Geometry,Bisection,0
Right_triangle,Tangent,0
Angle,Circumference,0
Sine,Line_segment,1
Tangent,Edge_(geometry),1
Edge_(geometry),Convex_polygon,0
Pythagorean_theorem,Rigid_transformation,0
Pyramid_(geometry),Line_(geometry),1
Two-dimensional_space,Point_(geometry),1
Polygon,Exterior_angle_theorem,0
Arc_length,Circle,1
Point_(geometry),Nonagon,0
Acute_and_obtuse_triangles,Point_(geometry),1
Two-dimensional_space,Star_polygon,0
Line_(geometry),Square,0
Secant_line,Chord_(geometry),0
Acute_and_obtuse_triangles,Pyramid_(geometry),0
Midpoint,Angle_bisector_theorem,0
Line_(geometry),Radius,0
Acute_and_obtuse_triangles,Tangent,0
Prism_(geometry),Line_segment,1
Line_segment,Octagon,0
Vertex_(geometry),Internal_and_external_angle,0
Point_(geometry),Hendecagon,0
Geometry,Inverse_trigonometric_functions,0
Point_(geometry),Angle,0
Line_segment,Cylinder_(geometry),0
Line_segment,Similarity_(geometry),0
Geometry,Special_right_triangles,0
Hexagon,Angle,1
Polyhedron,Vertex_(geometry),1
Triangle_inequality,Parallelogram,0
Plane_(geometry),Skew_lines,0
Plane_(geometry),Coordinate_system,0
Radius,Geometry,1
Equilateral_triangle,Square,0
Parallel_(geometry),Point_(geometry),1
Similarity_(geometry),Square,0
Angle,Hendecagon,0
Tessellation,Vertex_(geometry),0
Angle_bisector_theorem,Sine,0
Prism_(geometry),Parallel_(geometry),1
Tessellation,Kite_(geometry),0
Point_(geometry),Rectangle,0
Angle_bisector_theorem,Edge_(geometry),1
Pythagorean_theorem,Altitude_(triangle),0
Bisection,Line_(geometry),1
Diagonal,Point_(geometry),1
Concentric,Sphere,0
Altitude_(triangle),Bisection,0
Square,Coordinate_system,0
Parallelogram,Pythagorean_theorem,0
Parallel_(geometry),Distance,0
Edge_(geometry),Inverse_trigonometric_functions,0
Cylinder_(geometry),Concentric,0
Rotational_symmetry,Cone,0
Geometry,Parallelogram,0
Decagon,Polygon,1
Pythagorean_triple,Geometry,1
Pythagorean_triple,Right_angle,1
Special_right_triangles,Pythagorean_theorem,0
Congruence_(geometry),Geometry,1
Collinearity,Chord_(geometry),0
Distance,Arc_length,0
Similarity_(geometry),Midpoint,0
Circle,Cone,0
Convex_polygon,Pyramid_(geometry),0
Geometry,Perpendicular,0
Angle_bisector_theorem,Triangle,1
Polygon,Pyramid_(geometry),0
Point_(geometry),Reflection_symmetry,0
Pythagorean_triple,Vertex_(geometry),1
Triangle_inequality,Geometry,1
Isosceles_triangle,Line_segment,1
Right_triangle,Circle,0
Cartesian_coordinate_system,Distance,1
Angle,Circle,0
Similarity_(geometry),Reflection_(mathematics),0
Triangle,Sphere,0
Convex_polygon,Kite_(geometry),0
Diameter,Geometry,1
Midpoint,Line_segment,1
Edge_(geometry),Special_right_triangles,0
Tangent,Pyramid_(geometry),0
Two-dimensional_space,Sphere,0
Rectangle,Square,0
Face_(geometry),Symmetry,0
Secant_line,Line_(geometry),1
Polyhedron,Polygon,1
Vertex_(geometry),Inverse_trigonometric_functions,0
Perpendicular,Cartesian_coordinate_system,0
Circle,Diagonal,0
Dodecagon,Point_(geometry),1
Triangle_inequality,Pythagorean_triple,0
Grade_(slope),Angle,1
Pyramid_(geometry),Angle,1
Sine,Edge_(geometry),1
Edge_(geometry),Sine,0
Line_(geometry),Hexagon,0
Point_(geometry),Coordinate_system,0
Isosceles_triangle,Vertex_(geometry),1
Edge_(geometry),Diagonal,0
Perpendicular,Line_(geometry),1
Point_(geometry),Convex_polygon,0
Angle_bisector_theorem,Perpendicular,1
Triangle_inequality,Right_triangle,0
Similarity_(geometry),Pythagorean_triple,0
Pentagon,Vertex_(geometry),1
Congruence_(geometry),Sphere,0
Altitude_(triangle),Tangent,0
Tangent,Polygon,1
Collinearity,Point_(geometry),1
Cylinder_(geometry),Coordinate_system,0
Diameter,Kite_(geometry),0
Congruence_(geometry),Line_segment,1
Geometry,Rectangle,0
Rectangle,Sphere,0
Diameter,Point_(geometry),1
Point_(geometry),Polyhedron,0
Square,Edge_(geometry),1
Circle,Secant_line,0
Diameter,Decagon,0
Prism_(geometry),Polygon,1
Right_angle,Trapezoid,0
Line_segment,Internal_and_external_angle,0
Line_(geometry),Special_right_triangles,0
Rhombus,Line_(geometry),1
Inverse_trigonometric_functions,Angle,1
Edge_(geometry),Square,0
Congruence_(geometry),Diameter,0
Pyramid_(geometry),Scaling_(geometry),0
Parallel_(geometry),Line_(geometry),1
Special_right_triangles,Triangle,1
Right_triangle,Pythagorean_triple,0
Special_right_triangles,Pythagorean_triple,0
Tangent,Kite_(geometry),0
Decagon,Angle,1
Line_(geometry),Quadrilateral,0
Radius,Line_segment,1
Edge_(geometry),Decagon,0
Angle_bisector_theorem,Line_segment,1
Line_segment,Parallel_(geometry),0
Exterior_angle_theorem,Angle,1
Perpendicular,Quadrilateral,0
Cone,Cartesian_coordinate_system,0
Arc_length,Slope,0
Circle,Convex_polygon,0
Point_(geometry),Equilateral_triangle,0
Distance,Cartesian_coordinate_system,0
Right_angle,Angle,1
Circle,Radius,0
Heptagon,Geometry,1
Angle_bisector_theorem,Midpoint,1
Congruence_(geometry),Isosceles_triangle,0
Arc_(geometry),Chord_(geometry),0
Geometry,Sine,0
Square,Reflection_symmetry,0
Geometry,Line_(geometry),0
Triangle,Geometry,1
Inverse_trigonometric_functions,Pythagorean_theorem,0
Hendecagon,Line_segment,1
Circle,Polygon,0
Star_polygon,Line_segment,1
Cartesian_coordinate_system,Perpendicular,1
Edge_(geometry),Face_(geometry),0
Pentagon,Polygon,1
Hendecagon,Vertex_(geometry),1
Geometry,Tessellation,0
Internal_and_external_angle,Line_segment,1
Coordinate_system,Plane_(geometry),1
Polyhedron,Angle,1
Vertex_(geometry),Diagonal,0
Special_right_triangles,Vertex_(geometry),1
Transversal_(geometry),Internal_and_external_angle,0
Midpoint,Trapezoid,0
Slope,Line_(geometry),1
Two-dimensional_space,Decagon,0
Midpoint,Isosceles_triangle,0
Polyhedron,Prism_(geometry),0
Geometry,Point_(geometry),0
Cone,Geometry,1
Square,Pythagorean_theorem,0
Plane_(geometry),Tessellation,0
Triangle,Tessellation,0
Similarity_(geometry),Self-similarity,0
Line_segment,Cross_section_(geometry),0
Geometry,Rigid_transformation,0
Polyhedron,Coordinate_system,0
Star_polygon,Angle,1
Parallelogram,Parallel_(geometry),1
Pentagon,Rotational_symmetry,0
Point_(geometry),Chord_(geometry),0
Polygon,Kite_(geometry),0
Right_triangle,Triangle,1
Trigonometric_functions,Inverse_trigonometric_functions,0
Vertex_(geometry),Hexagon,0
Angle,Space_(mathematics),0
Line_(geometry),Rhombus,0
Point_(geometry),Sine,0
Geometry,Two-dimensional_space,0
Reflection_symmetry,Trapezoid,0
Diagonal,Angle,1
Right_triangle,Geometry,1
Line_(geometry),Distance,0
Quadrilateral,Square,0
Edge_(geometry),Vertex_(geometry),1
Translation_(geometry),Rigid_transformation,0
Polygon,Space_(mathematics),0
Polyhedron,Reflection_symmetry,0
Symmetry,Rhombus,0
Point_(geometry),Congruence_(geometry),0
Angle,Sine,0
Vertex_(geometry),Isosceles_triangle,0
Line_segment,Kite_(geometry),0
Vertex_(geometry),Equilateral_triangle,0
Geometry,Arc_(geometry),0
Vertex_(geometry),Exterior_angle_theorem,0
Line_segment,Altitude_(triangle),0
Symmetry,Rigid_transformation,0
Nonagon,Angle,1
Rectangle,Line_(geometry),1
Radius,Cartesian_coordinate_system,0
Collinearity,Rectangle,0
Polyhedron,Cross_section_(geometry),0
Triangle,Trigonometric_functions,0
Perpendicular,Isosceles_triangle,0
Vertex_(geometry),Square,0
Edge_(geometry),Hexagon,0
Angle,Equilateral_triangle,0
Radius,Polygon,0
Triangle_inequality,Distance,0
Geometry,Quadrilateral,0
Triangle,Acute_and_obtuse_triangles,0
Diameter,Perpendicular,0
Bisection,Isosceles_triangle,0
Symmetry,Trapezoid,0
Geometry,Reflection_(mathematics),0
Isosceles_triangle,Equilateral_triangle,0
Square,Right_angle,1
Point_(geometry),Special_right_triangles,0
Pentagon,Angle,1
Parallel_(geometry),Square,0
Angle,Special_right_triangles,0
Pythagorean_theorem,Parallelogram,0
Rigid_transformation,Point_(geometry),1
Triangle,Hexagon,0
Triangle,Plane_(geometry),0
Line_(geometry),Collinearity,0
Reflection_symmetry,Symmetry,1
Line_(geometry),Skew_lines,0
Pyramid_(geometry),Sphere,0
Exterior_angle_theorem,Edge_(geometry),1
Geometry,Kite_(geometry),0
Point_(geometry),Rigid_transformation,0
Special_right_triangles,Isosceles_triangle,0
Decagon,Line_(geometry),1
Coordinate_system,Right_angle,0
Pythagorean_theorem,Perpendicular,0
Circle,Distance,0
Nonagon,Vertex_(geometry),1
Bisection,Tangent,0
Polyhedron,Rhombus,0
Tessellation,Hexagon,0
Rhombus,Cone,0
Acute_and_obtuse_triangles,Altitude_(triangle),0
Triangle,Convex_polygon,0
Edge_(geometry),Tangent,0
Sphere,Circle,1
Rhombus,Circle,0
Symmetry,Quadrilateral,0
Collinearity,Sphere,0
Heptagon,Point_(geometry),1
Line_segment,Prism_(geometry),0
Hexagon,Geometry,1
Pyramid_(geometry),Edge_(geometry),1
Cross_section_(geometry),Plane_(geometry),1
Quadrilateral,Tessellation,0
Vertex_(geometry),Geometry,1
Angle,Diagonal,0
Congruence_(geometry),Line_(geometry),1
Point_(geometry),Diagonal,0
Nonagon,Point_(geometry),1
Angle,Internal_and_external_angle,0
Rotation_(mathematics),Angle,1
Tangent,Distance,0
Point_(geometry),Acute_and_obtuse_triangles,0
Cartesian_coordinate_system,Point_(geometry),1
Polygon,Concentric,0
Point_(geometry),Octagon,0
Triangle_inequality,Line_segment,1
Angle,Tangent,0
Point_(geometry),Line_(geometry),0
Pentagon,Decagon,0
Geometry,Trapezoid,0
Bisection,Chord_(geometry),0
Decagon,Point_(geometry),1
Rotation_(mathematics),Symmetry,1
Acute_and_obtuse_triangles,Geometry,1
Pythagorean_theorem,Rectangle,0
Pythagorean_theorem,Line_segment,1
Exterior_angle_theorem,Geometry,1
Symmetry,Prism_(geometry),0
Exterior_angle_theorem,Point_(geometry),1
Rectangle,Quadrilateral,1
Geometry,Concentric,0
Coordinate_system,Distance,0
Angle,Quadrilateral,0
Altitude_(triangle),Equilateral_triangle,0
Vertex_(geometry),Decagon,0
Perpendicular,Tangent,0
Rectangle,Internal_and_external_angle,0
Square,Perpendicular,0
Geometry,Right_angle,0
Rectangle,Pyramid_(geometry),0
Polygon,Point_(geometry),1
Vertex_(geometry),Trigonometric_functions,0
Line_(geometry),Sphere,0
Midpoint,Coordinate_system,0
Line_segment,Convex_polygon,0
Radius,Distance,0
Triangle,Edge_(geometry),1
Angle,Rigid_transformation,0
Triangle,Similarity_(geometry),0
Line_segment,Pyramid_(geometry),0
Tangent,Point_(geometry),1
Point_(geometry),Circle,0
Vertex_(geometry),Special_right_triangles,0
Reflection_(mathematics),Symmetry,1
Reflection_symmetry,Kite_(geometry),0
Pyramid_(geometry),Triangle,0
Pyramid_(geometry),Geometry,1
Geometry,Self-similarity,0
Quadrilateral,Line_(geometry),1
Bisection,Perpendicular,1
Face_(geometry),Square,0
Tangent,Trigonometric_functions,1
Circle,Chord_(geometry),0
Kite_(geometry),Vertex_(geometry),1
Tessellation,Plane_(geometry),1
Line_segment,Polygon,0
Diameter,Bisection,0
Line_segment,Rectangle,0
Line_(geometry),Right_angle,0
Rotational_symmetry,Scale_factor,0
Equilateral_triangle,Polygon,1
Square,Parallel_(geometry),1
Right_angle,Right_triangle,0
Congruence_(geometry),Distance,0
Concentric,Equilateral_triangle,0
Congruence_(geometry),Reflection_(mathematics),0
Geometry,Equilateral_triangle,0
Circle,Acute_and_obtuse_triangles,0
Geometry,Dodecagon,0
Triangle,Pythagorean_triple,0
Trigonometric_functions,Circle,0
Rhombus,Congruence_(geometry),0
Square,Acute_and_obtuse_triangles,0
Congruence_(geometry),Tessellation,0
Inverse_trigonometric_functions,Triangle,1
Line_(geometry),Parallelogram,0
Acute_and_obtuse_triangles,Line_segment,1
Angle,Pythagorean_triple,0
Pythagorean_theorem,Trigonometric_functions,0
Trigonometric_functions,Line_segment,1
Rigid_transformation,Distance,0
Circle,Sphere,0
Line_segment,Polyhedron,0
Convex_polygon,Trapezoid,0
Special_right_triangles,Line_(geometry),1
Rhombus,Polygon,1
Rotation_(mathematics),Reflection_(mathematics),0
Cylinder_(geometry),Angle,0
Rectangle,Bisection,0
Rotation_(mathematics),Cartesian_coordinate_system,0
Point_(geometry),Bisection,0
Skew_lines,Line_(geometry),1
Edge_(geometry),Octagon,0
Line_(geometry),Diagonal,0
Sine,Line_(geometry),1
Point_(geometry),Sphere,0
Octagon,Edge_(geometry),1
Exterior_angle_theorem,Triangle,1
Grade_(slope),Point_(geometry),1
Similarity_(geometry),Isosceles_triangle,0
Hendecagon,Polygon,1
Tessellation,Polygon,0
Dodecagon,Line_(geometry),1
Cross_section_(geometry),Cylinder_(geometry),0
Pythagorean_theorem,Two-dimensional_space,0
Prism_(geometry),Congruence_(geometry),0
Rotational_symmetry,Perpendicular,0
Trigonometric_functions,Distance,0
Line_(geometry),Polyhedron,0
Diameter,Chord_(geometry),1
Line_segment,Exterior_angle_theorem,0
Geometry,Rhombus,0
Quadrilateral,Edge_(geometry),1
Point_(geometry),Pythagorean_triple,0
Rectangle,Edge_(geometry),1
Transversal_(geometry),Line_(geometry),1
Chord_(geometry),Diameter,0
Reflection_(mathematics),Point_(geometry),1
Geometry,Rotational_symmetry,0
Line_segment,Equilateral_triangle,0
Dodecagon,Line_segment,1
Collinearity,Triangle_inequality,0
Edge_(geometry),Heptagon,0
Inverse_trigonometric_functions,Point_(geometry),1
Triangle,Circle,0
Trigonometric_functions,Sine,0
Heptagon,Two-dimensional_space,0
Quadrilateral,Convex_polygon,0
Rhombus,Tangent,0
Trigonometric_functions,Similarity_(geometry),0
Line_(geometry),Right_triangle,0
Geometry,Pythagorean_theorem,0
Line_segment,Hexagon,0
Edge_(geometry),Rectangle,0
Internal_and_external_angle,Edge_(geometry),1
Polygon,Isosceles_triangle,0
Two-dimensional_space,Geometry,1
Radius,Diameter,0
Rotational_symmetry,Rhombus,0
Similarity_(geometry),Space_(mathematics),0
Line_(geometry),Equilateral_triangle,0
Circle,Trapezoid,0
Octagon,Point_(geometry),1
Geometry,Triangle_inequality,0
Grade_(slope),Distance,0
Octagon,Line_(geometry),1
Polygon,Square,0
Angle,Coordinate_system,0
Right_angle,Point_(geometry),1
Parallel_(geometry),Slope,0
Dodecagon,Polygon,1
Prism_(geometry),Polyhedron,1
Vertex_(geometry),Angle_bisector_theorem,0
Transversal_(geometry),Plane_(geometry),1
Internal_and_external_angle,Polygon,1
Line_segment,Triangle,0
Similarity_(geometry),Right_triangle,0
Plane_(geometry),Geometry,1
Line_(geometry),Circle,0
Perpendicular,Slope,0
Rhombus,Trapezoid,0
Line_(geometry),Trigonometric_functions,0
Tangent,Arc_length,0
Diagonal,Kite_(geometry),0
Quadrilateral,Rectangle,0
Triangle_inequality,Edge_(geometry),1
Parallelogram,Face_(geometry),0
Quadrilateral,Midpoint,0
Quadrilateral,Rhombus,0
Rectangle,Triangle,0
Geometry,Edge_(geometry),0
Similarity_(geometry),Rotation_(mathematics),0
Exterior_angle_theorem,Sphere,0
Rotational_symmetry,Equilateral_triangle,0
Edge_(geometry),Kite_(geometry),0
Triangle_inequality,Angle,1
Special_right_triangles,Right_triangle,1
Line_(geometry),Internal_and_external_angle,0
Star_polygon,Line_(geometry),1
Edge_(geometry),Altitude_(triangle),0
Geometry,Slope,0
Point_(geometry),Kite_(geometry),0
Arc_length,Tangent,0
Circle,Triangle,0
Pythagorean_theorem,Similarity_(geometry),0
Star_polygon,Point_(geometry),1
Right_triangle,Sine,0
Midpoint,Right_triangle,0
Plane_(geometry),Cartesian_coordinate_system,0
Diameter,Sphere,0
Angle,Inverse_trigonometric_functions,0
Rigid_transformation,Angle,1
Square,Angle,1
Geometry,Triangle,0
Quadrilateral,Hexagon,0
Line_(geometry),Geometry,1
Line_segment,Heptagon,0
Angle_bisector_theorem,Line_(geometry),1
Translation_(geometry),Coordinate_system,0
Angle,Star_polygon,0
Vertex_(geometry),Pythagorean_triple,0
Angle,Line_(geometry),1
Arc_(geometry),Plane_(geometry),0
Angle,Reflection_symmetry,0
Midpoint,Tangent,0
Vertex_(geometry),Sine,0
Angle,Rotation_(mathematics),0
Triangle_inequality,Pythagorean_theorem,0
Angle,Polygon,0
Square,Line_(geometry),1
Line_segment,Pythagorean_theorem,0
Quadrilateral,Parallelogram,0
Line_(geometry),Octagon,0
Polygon,Polyhedron,0
Polygon,Inverse_trigonometric_functions,0
Rhombus,Face_(geometry),0
Congruence_(geometry),Cartesian_coordinate_system,0
Face_(geometry),Rhombus,0
Pyramid_(geometry),Plane_(geometry),0
Polygon,Convex_polygon,0
Line_segment,Distance,0
Two-dimensional_space,Hendecagon,0
Bisection,Trapezoid,0
Point_(geometry),Parallelogram,0
Congruence_(geometry),Polygon,1
Square,Rectangle,1
Line_segment,Radius,0
Vertex_(geometry),Edge_(geometry),0
Angle,Polyhedron,0
Line_(geometry),Line_segment,0
Skew_lines,Parallel_(geometry),1
Line_segment,Line_(geometry),1
Parallelogram,Rhombus,0
Trapezoid,Parallelogram,0
