A,B,result
Acceleration,Non-inertial_reference_frame,0
Magnetic_field,Electric_current,1
Newton's_law_of_universal_gravitation,Gravitational_field,0
Potential_energy,Torque,0
Gravitational_acceleration,Force,1
Free_fall,Physics,1
Photoelectric_effect,Kinetic_energy,0
Position_(vector),Motion_(physics),0
Energy,Electromotive_force,0
Dispersion_(optics),Light,1
Newton's_laws_of_motion,Gravity_of_Earth,0
Light,Wavelength,0
Force,Plasticity_(physics),0
Newton's_law_of_universal_gravitation,Kilogram,0
Doppler_effect,Physics,1
Total_internal_reflection,Laser,0
Electrical_conductor,Metre,0
Telescope,Reflection_(physics),0
Energy,Hertz,0
Wavelength,Interference_(wave_propagation),0
Magnet,Electric_field,0
Work_(physics),Joule,0
Non-inertial_reference_frame,Motion_(physics),1
Photoelectric_effect,Hertz,0
Inertial_frame_of_reference,Collision,0
Light,Plane_mirror,0
Speed,Snell's_law,0
Electromotive_force,Physics,1
Magnification,Refracting_telescope,0
Force,Projectile_motion,0
Force,Hardness,0
Snell's_law,Velocity,0
Velocity,Elastic_collision,0
Power_(physics),Kilogram,0
Magnetic_field,Energy,0
Joule,Mechanical_energy,0
Speed,Motion_(physics),1
Mass,Electron,0
Force,Potential_energy,0
Virtual_image,Ray_(optics),1
Electric_field,Mass,0
Refractive_index,Temperature,0
Field_line,Magnetic_field,0
Newton's_laws_of_motion,Work_(physics),0
Equations_of_motion,Motion_(physics),1
Electrostatics,Field_line,0
Diffraction,Huygens–Fresnel_principle,0
Force,Elasticity_(physics),0
Energy,Potential_energy,0
Electric_field,Coulomb,0
Electric_field,Electric_current,0
Wave,Total_internal_reflection,0
Frequency,Energy,0
Lever,Length,0
Physics,Transmission_medium,0
Intensity_(physics),Laser,0
Magnetism,Length,0
Light,Refracting_telescope,0
Physics,Shock_wave,0
Photoelectric_effect,Electromagnetic_radiation,0
Dielectric,Hertz,0
Magnetic_field,Voltage,0
Tension_(physics),Mass,0
Interference_(wave_propagation),Electron,0
Euclidean_vector,Force,0
Contact_force,Force,1
Standing_wave,Frequency,1
Magnetic_field,Dielectric,0
Interference_(wave_propagation),Huygens–Fresnel_principle,0
Amplitude,Refractive_index,0
Specular_reflection,Refractive_index,0
Speed,Electron,0
Gravitational_acceleration,Planet,0
Distance,Free_fall,0
Acceleration,Velocity,1
Velocity,Metre,0
Capacitance,Voltage,1
Refractive_index,Mass,0
Electrostatics,Electrical_conductor,0
Sonic_boom,Physics,1
Frame_of_reference,Electromagnetic_spectrum,0
Capacitor,Laser,0
Ohm,Coulomb,0
Electric_field,Physics,1
Magnetic_field,Torque,0
Physics,Displacement_(vector),0
Intensity_(physics),Wave,0
Wave,Energy,0
Capacitor,Dielectric,0
Geometrical_optics,Snell's_law,0
Wave,Doppler_effect,0
Ohm's_law,Voltage,1
Power_(physics),Intensity_(physics),0
Le_Sage's_theory_of_gravitation,Energy,0
Capacitance,Electric_current,0
Hooke's_law,Stiffness,0
Electromagnetic_spectrum,Electric_field,1
Physics,Emission_spectrum,0
Total_internal_reflection,Physics,1
Snell's_law,Motion_(physics),1
Motion_(physics),Energy,0
Energy,Sonic_boom,0
Magnetic_field,Gravity_of_Earth,0
Electron,Electromagnetic_radiation,0
Acceleration,Torque,0
Physics,Electric_field,0
Diffraction,Interference_(wave_propagation),0
Fatigue_(material),Deformation_(engineering),1
Force,Stiffness,0
Distance,Gravity_of_Earth,0
Electric_potential,Force,1
Electric_charge,Capacitance,0
Friction,Mass,0
Elastic_collision,Physics,1
Free_fall,Gravitational_field,0
Energy,Laser,0
Electric_field,Wavelength,0
Elasticity_(physics),Hardness,0
Force,Elastic_collision,0
Refraction,Absorption_spectroscopy,0
Refraction,Electromagnetic_spectrum,0
Electric_potential_energy,Field_(physics),1
Newton's_laws_of_motion,Contact_force,0
Coulomb's_law,Dielectric,0
Projectile_motion,Velocity,1
Electron,Distance,0
Le_Sage's_theory_of_gravitation,Wavelength,0
Collision,Le_Sage's_theory_of_gravitation,0
Gravity_of_Earth,Force,1
Magnetic_field,Potential_energy,0
Intensity_(physics),Physics,1
Electric_field,Force,0
Physics,Wave,0
Refractive_index,Snell's_law,0
Amplitude,Huygens–Fresnel_principle,0
Motion_(physics),Electrostatics,0
Acceleration,Field_(physics),0
Scattering,Velocity,0
Hardness,Deformation_(engineering),1
Electron,Specular_reflection,0
Standing_wave,Voltage,0
Doppler_effect,Wavelength,1
Diffraction,Dispersion_(optics),0
Inelastic_collision,Elastic_collision,0
Magnetism,Coulomb,0
Gravitational_acceleration,Gravity,1
Refractive_index,Telescope,0
Energy,Mechanical_energy,0
Elastic_collision,Energy,1
Wave,Intensity_(physics),0
Mass,Distance,0
Equations_of_motion,Field_(physics),0
Displacement_(vector),Work_(physics),0
Kinetic_energy,Mechanical_energy,0
Gravitational_field,Newton's_law_of_universal_gravitation,1
Velocity,Wave,0
Mirror_image,Distance,0
Gravity,Gravitational_acceleration,0
Potential_energy,Euclidean_vector,1
Wave,Elasticity_(physics),0
Pitch_(music),Hertz,0
Speed,Shock_wave,0
Doppler_effect,Frequency,1
Speed,Electromagnetic_spectrum,0
Electron,Electrostatics,0
Electric_potential,Coulomb's_law,1
Euclidean_vector,Gravitational_acceleration,0
Frequency,Doppler_effect,0
Fracture,Elasticity_(physics),0
Temperature,Kilogram,0
Distance,Elastic_collision,0
Gravitational_acceleration,Motion_(physics),1
Physics,Doppler_effect,0
Potential_energy,Metre,0
Displacement_(vector),Distance,1
Displacement_(vector),Projectile_motion,0
Electric_potential,Capacitance,0
Motion_(physics),Newton's_laws_of_motion,0
Speed,Rarefaction,0
Pigment,Wavelength,0
Wave,Physics,1
Temperature,Wavelength,0
Interference_(wave_propagation),Crest_(physics),0
Wave,Electromagnetic_spectrum,0
Electrical_conductor,Electric_current,1
Motion_(physics),Elastic_collision,0
Inertial_frame_of_reference,Velocity,0
Work_(physics),Electrostatics,0
Force,Magnet,0
Force,Torque,0
Absorption_spectroscopy,Energy,1
Motion_(physics),Inertial_frame_of_reference,0
Capacitance,Distance,0
Coulomb's_law,Emission_spectrum,0
Position_(vector),Free_fall,0
Deformation_(engineering),Creep_(deformation),0
Shock_wave,Energy,1
Electrical_resistance_and_conductance,Energy,0
Motion_(physics),Mass,0
Magnet,Euclidean_vector,0
Voltage,Electric_current,0
Snell's_law,Light,1
Magnetism,Physics,1
Force,Creep_(deformation),0
Dielectric,Velocity,0
Velocity,Speed,0
Energy,Temperature,0
Euclidean_vector,Gravity_of_Earth,0
Electrical_conductor,Electroscope,0
Electrical_resistance_and_conductance,Ohm,0
Amplitude,Voltage,0
Energy,Dielectric,0
Wave,Mass,0
Energy,Equations_of_motion,0
Physics,Contact_force,0
Energy,Transverse_wave,0
Magnet,Mass,0
Speed,Gravity_of_Earth,0
Energy,Electrostatics,0
Gravitational_acceleration,Physics,1
Gravity,Physics,1
Mirror_image,Length,0
Diffraction,Specular_reflection,0
Projectile_motion,Motion_(physics),1
Potential_energy,Work_(physics),1
Motion_(physics),Temperature,0
Photoelectric_effect,Color,0
Deformation_(engineering),Hardness,0
Intensity_(physics),Speed,0
Electric_potential_energy,Coulomb,0
Specular_reflection,Refraction,0
Refractive_index,Frequency,0
Lever,Energy,0
Electromagnetic_radiation,Laser,0
Emission_spectrum,Magnet,1
Snell's_law,Telescope,0
Velocity,Equations_of_motion,0
Electron,Electrical_conductor,0
Interference_(wave_propagation),Ray_(optics),0
Energy,Energy_level,0
Refraction,Length,0
Joule,Coulomb,0
Dielectric,Coulomb's_law,1
Magnetism,Force,1
Sonic_boom,Wave,1
Series_and_parallel_circuits,Ohm's_law,1
Wave,Frequency,0
Creep_(deformation),Force,1
Telescope,Optical_microscope,0
Stiffness,Hooke's_law,0
Ohm,Electromotive_force,0
Kinetic_energy,Physics,1
Electrostatics,Electric_field,1
Physics,Electromagnetic_spectrum,0
Electron,Potential_energy,0
Torque,Speed,0
Scattering,Wavelength,1
Electric_potential,Motion_(physics),1
Electrostatics,Motion_(physics),1
Emission_spectrum,Magnetic_field,1
Force,Emission_spectrum,0
Hooke's_law,Mass,0
Sonic_boom,Hertz,0
Photoelectric_effect,Light,1
Displacement_(vector),Free_fall,0
Electron,Le_Sage's_theory_of_gravitation,0
Force,Electrostatics,0
Elasticity_(physics),Energy,0
Energy,Emission_spectrum,0
Elastic_collision,Distance,1
Torque,Lever,1
Amplitude,Distance,0
Frequency,Interference_(wave_propagation),0
Tension_(physics),Physics,1
Color,Dispersion_(optics),0
Physics,Newton's_law_of_universal_gravitation,0
Diffraction,Wavelength,0
Gravitational_constant,Newton's_law_of_universal_gravitation,1
Motion_(physics),Gravity_of_Earth,0
Field_(physics),Dielectric,0
Magnetic_field,Temperature,0
Tension_(physics),Compression_(physics),0
Electric_potential,Gravity,0
Specular_reflection,Light,1
Ray_(optics),Light,1
Distance,Lever,0
Force,Length,0
Physics,Refractive_index,0
Refractive_index,Color,0
Total_internal_reflection,Wave,1
Total_internal_reflection,Reflection_(physics),1
Sound,Sound_intensity,0
Torque,Energy,0
Electrical_resistance_and_conductance,Metre,0
Field_(physics),Electrostatics,0
Gravity_of_Earth,Free_fall,0
Position_(vector),Electric_potential,0
Diffraction,Transverse_wave,0
Dielectric,Reflection_(physics),0
Interference_(wave_propagation),Energy,0
Force,Inelastic_collision,0
Mirror_image,Physics,1
Energy,Electromagnetic_radiation,0
Magnetism,Field_(physics),0
Friction,Deformation_(engineering),0
Temperature,Velocity,0
Elasticity_(physics),Strength_of_materials,0
Gravity_of_Earth,Motion_(physics),1
Displacement_(vector),Position_(vector),1
Intensity_(physics),Power_(physics),1
Physics,Motion_graphs_and_derivatives,0
Magnetic_field,Physics,1
Curved_mirror,Geometrical_optics,0
Interference_(wave_propagation),Standing_wave,0
Physics,Elastic_collision,0
Speed,Inelastic_collision,0
Energy,Mirror_image,0
Wave,Dispersion_(optics),0
Distance,Physics,0
Force,Fatigue_(material),0
Mass,Collision,0
Electromotive_force,Magnetic_field,1
Electromagnetic_radiation,Energy,1
Normal_force,Physics,1
Electric_field,Wave,0
Speed,Refraction,0
Gravity_of_Earth,Newton's_law_of_universal_gravitation,0
Refraction,Snell's_law,0
Dielectric,Energy,1
Sound_intensity,Velocity,0
Electromagnetic_radiation,Transverse_wave,0
Gravitational_field,Mass,1
Magnification,Virtual_image,0
Motion_(physics),Force,0
Dielectric,Physics,1
Mass,Gravity_of_Earth,0
Voltmeter,Voltage,1
Transmission_medium,Electromagnetic_spectrum,0
Shock_wave,Velocity,0
Electric_field,Electric_potential,0
Position_(vector),Electric_potential_energy,0
Hertz,Kilogram,0
Electron,Field_(physics),0
Joule,Velocity,0
Insulator_(electricity),Dielectric,0
Mass,Velocity,0
Force,Le_Sage's_theory_of_gravitation,0
Force,Direction_(geometry),0
Inelastic_collision,Mass,1
Electromagnetic_spectrum,Coulomb's_law,1
Doppler_effect,Relative_velocity,1
Snell's_law,Wavelength,1
Speed,Dielectric,0
Magnet,Force,0
Physics,Energy,0
Mass,Absorption_spectroscopy,0
Acceleration,Energy,0
Joule,Torque,0
Sound_intensity,Physics,1
Scalar_multiplication,Scalar_(mathematics),1
Velocity,Length,0
Velocity,Mechanical_energy,0
Amplitude,Electromagnetic_spectrum,0
Standing_wave,Amplitude,1
Electron,Dielectric,0
Refracting_telescope,Refraction,1
Dispersion_(optics),Refracting_telescope,0
Voltage,Power_(physics),0
Equations_of_motion,Length,0
Electric_current,Electrical_resistance_and_conductance,0
Emission_spectrum,Electric_current,1
Amplitude,Electrical_resistance_and_conductance,0
Distance,Equations_of_motion,0
Absorption_spectroscopy,Electromagnetic_spectrum,0
Electrical_resistance_and_conductance,Ohm's_law,1
Motion_(physics),Power_(physics),0
Le_Sage's_theory_of_gravitation,Mass,1
Wavelength,Doppler_effect,0
Wave,Length,0
Normal_force,Force,1
Telescope,Electromagnetic_radiation,0
Curved_mirror,Reflection_(physics),0
Voltage,Coulomb,0
Friction,Normal_force,0
Physics,Hardness,0
Euclidean_vector,Inertial_frame_of_reference,0
Voltage,Electrical_resistance_and_conductance,0
Distance,Doppler_effect,0
Coulomb's_law,Electric_field,0
Electromagnetic_radiation,Dispersion_(optics),0
Displacement_(vector),Potential_energy,0
Equations_of_motion,Force,1
Friction,Physics,1
Gravitational_acceleration,Displacement_(vector),1
Specular_reflection,Mirror_image,0
Electromagnetic_spectrum,Reflection_(physics),0
Electron,Refractive_index,0
Electric_potential,Gravitational_field,0
Coulomb's_law,Electric_potential_energy,0
Magnet,Electromagnetic_spectrum,0
Plasticity_(physics),Hooke's_law,0
Snell's_law,Total_internal_reflection,0
Physics,Diffraction,0
Electromotive_force,Joule,0
Deformation_(engineering),Strength_of_materials,0
Virtual_image,Plane_mirror,0
Total_internal_reflection,Refraction,1
Magnetic_field,Coulomb,0
Sonic_boom,Mass,0
Gravitational_constant,Physics,1
Equations_of_motion,Torque,0
Electromagnetic_spectrum,Metre,0
Motion_(physics),Acceleration,0
Angle_of_incidence,Reflection_(physics),0
Intensity_(physics),Sound_intensity,0
Doppler_effect,Wave,1
Electric_field,Electric_potential_energy,0
Magnetic_field,Hertz,0
Motion_graphs_and_derivatives,Euclidean_vector,1
Capacitance,Energy,0
Wave,Dielectric,0
Force,Kilogram,0
Shock_wave,Force,0
Interference_(wave_propagation),Electromagnetic_spectrum,0
Virtual_image,Optical_microscope,0
Motion_(physics),Velocity,0
Free_fall,Gravitational_acceleration,1
Hooke's_law,Distance,0
Transverse_wave,Physics,1
Field_(physics),Emission_spectrum,0
Refractive_index,Wavelength,0
Le_Sage's_theory_of_gravitation,Velocity,0
Speed,Collision,0
Electron,Dispersion_(optics),0
Electromagnetic_radiation,Magnetic_field,1
Inertial_frame_of_reference,Speed,1
Acceleration,Electromagnetic_radiation,0
Specular_reflection,Angle_of_incidence,1
Magnet,Length,0
Mechanical_energy,Position_(vector),1
Euclidean_vector,Free_fall,0
Intensity_(physics),Interference_(wave_propagation),0
Wave,Le_Sage's_theory_of_gravitation,0
Voltage,Electric_potential,0
Newton's_laws_of_motion,Newton's_law_of_universal_gravitation,0
Acceleration,Direction_(geometry),0
Photoelectric_effect,Voltage,0
Force,Physics,1
Energy,Absorption_spectroscopy,0
Physics,Electric_potential,0
Gravity,Force,1
Inelastic_collision,Velocity,0
Speed,Mass,0
Sonic_boom,Sound,1
Coulomb's_law,Electromagnetic_spectrum,0
Energy,Physics,1
Gravitational_field,Distance,1
Physics,Projectile_motion,0
Power_(physics),Velocity,0
Gravity_of_Earth,Kilogram,0
Hooke's_law,Wave,0
Acceleration,Newton's_law_of_universal_gravitation,0
Kinetic_energy,Force,0
Magnet,Electrical_resistance_and_conductance,0
Energy,Projectile_motion,0
Motion_(physics),Magnetism,0
Torque,Distance,0
Strength_of_materials,Force,1
Electric_potential_energy,Energy,1
Displacement_(vector),Velocity,0
Magnet,Field_(physics),0
Voltage,Voltmeter,0
Diffraction,Optical_microscope,0
Energy,Electric_potential_energy,0
Amplitude,Power_(physics),0
Laser,Power_(physics),0
Distance,Electric_potential_energy,0
Le_Sage's_theory_of_gravitation,Laser,0
Torque,Length,0
Projectile_motion,Euclidean_vector,1
Electroscope,Capacitance,0
Dispersion_(optics),Phase_velocity,1
Gravity_of_Earth,Physics,1
Photoelectric_effect,Electric_field,0
Energy_level,Potential_energy,0
Physics,Non-inertial_reference_frame,0
Wave,Interference_(wave_propagation),0
Interference_(wave_propagation),Frequency,1
Light,Hertz,0
Elasticity_(physics),Hooke's_law,0
Reflection_(physics),Wavelength,0
Joule,Power_(physics),0
Specular_reflection,Wavelength,0
Electromagnetic_radiation,Metre,0
Magnetism,Electron,0
Motion_graphs_and_derivatives,Physics,1
Collision,Planet,0
Gravitational_acceleration,Inertial_frame_of_reference,0
Friction,Velocity,0
Le_Sage's_theory_of_gravitation,Force,1
Electron,Reflection_(physics),0
Temperature,Magnetism,0
Electron,Kilogram,0
Potential_energy,Electric_potential_energy,0
Free_fall,Metre,0
Electromotive_force,Voltmeter,0
Friction,Coulomb,0
Intensity_(physics),Force,1
Deformation_(engineering),Fatigue_(material),0
Wave,Electron,0
Work_(physics),Planet,0
Newton's_law_of_universal_gravitation,Velocity,0
Relative_velocity,Velocity,1
Energy,Wavelength,0
Free_fall,Planet,0
Telescope,Planet,0
Hooke's_law,Length,1
Position_(vector),Potential_energy,0
Electromagnetic_spectrum,Magnetic_field,1
Potential_energy,Energy,1
Electrostatics,Euclidean_vector,1
Speed,Work_(physics),0
Motion_graphs_and_derivatives,Displacement_(vector),1
Electrostatics,Electric_potential_energy,1
Displacement_(vector),Electrostatics,0
Force,Mechanical_energy,0
Voltage,Electric_field,0
Electrostatics,Coulomb's_law,1
Gravitational_acceleration,Euclidean_vector,1
Crest_(physics),Frequency,0
Dielectric,Frequency,0
Electric_potential,Electroscope,0
Shock_wave,Magnetic_field,0
Hooke's_law,Dielectric,0
Physics,Motion_(physics),0
Newton's_law_of_universal_gravitation,Free_fall,0
Mass,Elastic_collision,0
Electron,Electromagnetic_spectrum,0
Acceleration,Motion_(physics),1
Gravity,Gravitational_field,0
Light,Reflection_(physics),0
Magnetism,Magnetic_field,0
Energy_level,Emission_spectrum,0
Physics,Lever,0
Resonance_(particle_physics),Scattering,0
Energy,Tension_(physics),0
Kinetic_energy,Elastic_collision,0
Wavelength,Scattering,0
Capacitance,Length,0
Energy_level,Absorption_spectroscopy,0
Acceleration,Photoelectric_effect,0
Strength_of_materials,Hardness,0
Wave,Force,0
Electron,Contact_force,0
Friction,Electron,0
Electromagnetic_radiation,Electric_field,1
Distance,Electric_potential,0
Gravity_of_Earth,Euclidean_vector,1
Magnetism,Le_Sage's_theory_of_gravitation,0
Snell's_law,Wave,1
Ray_(optics),Snell's_law,0
Light,Mirror_image,0
Displacement_(vector),Physics,1
Velocity,Gravity_of_Earth,0
Refracting_telescope,Wave,1
Position_(vector),Euclidean_vector,1
Hooke's_law,Torque,0
Crest_(physics),Physics,1
Field_(physics),Electromotive_force,0
Angle_of_incidence,Total_internal_reflection,0
Gravitational_acceleration,Energy,0
Inertial_frame_of_reference,Physics,1
Pigment,Color,1
Magnetism,Capacitance,0
Wavelength,Snell's_law,0
Euclidean_vector,Position_(vector),0
Rarefaction,Wave,1
Distance,Acceleration,0
Electric_potential_energy,Force,1
Electric_potential_energy,Electric_potential,0
Electron,Electromotive_force,0
Hardness,Kilogram,0
Electrical_conductor,Electrical_resistance_and_conductance,0
Elastic_collision,Collision,1
Physics,Reflection_(physics),0
Newton's_law_of_universal_gravitation,Electric_field,0
Emission_spectrum,Wavelength,1
Snell's_law,Ray_(optics),1
Sound_intensity,Distance,0
Friction,Force,1
Friction,Hardness,0
Transmission_medium,Wave,1
Deformation_(engineering),Plasticity_(physics),0
Tangential_and_normal_components,Euclidean_vector,0
Magnetic_field,Mass,0
Force,Tension_(physics),0
Electron,Field_line,0
Light,Photoelectric_effect,0
Speed,Magnetism,0
Energy,Elastic_collision,0
Friction,Temperature,0
Torque,Gravity,0
Capacitor,Insulator_(electricity),0
Power_(physics),Physics,1
Electric_current,Electromagnetic_radiation,0
Scalar_(mathematics),Distance,0
Fracture,Hardness,0
Electromotive_force,Force,1
Magnetic_field,Wave,0
Wave,Motion_(physics),0
Velocity,Work_(physics),0
Friction,Torque,0
Speed,Distance,1
Amplitude,Standing_wave,0
Electromagnetic_spectrum,Wave,1
Physics,Electromagnetic_radiation,0
Speed,Physics,1
Coulomb's_law,Coulomb,0
Dielectric,Electromagnetic_spectrum,0
Electrostatics,Energy,1
Hooke's_law,Deformation_(engineering),1
Wave,Magnet,0
Energy,Creep_(deformation),0
Electromotive_force,Magnet,1
Electrostatics,Work_(physics),1
Speed,Magnet,0
Electric_field,Coulomb's_law,1
Frequency,Hooke's_law,0
Physics,Electrical_conductor,0
Wave,Photoelectric_effect,0
Electroscope,Coulomb's_law,0
Energy,Mass,0
Ray_(optics),Diffraction,0
Frequency,Metre,0
Speed,Equations_of_motion,0
Creep_(deformation),Deformation_(engineering),1
Wavelength,Speed,0
Motion_(physics),Mechanical_energy,0
Speed,Projectile_motion,0
Wavelength,Absorption_spectroscopy,0
Mass,Wavelength,0
Motion_(physics),Projectile_motion,0
Shock_wave,Physics,1
Energy,Dispersion_(optics),0
Physics,Friction,0
Specular_reflection,Physics,1
Electromagnetic_spectrum,Force,1
Speed,Elastic_collision,0
Projectile_motion,Position_(vector),1
Electromotive_force,Electric_potential,0
Mechanical_energy,Displacement_(vector),1
Ohm,Velocity,0
Sonic_boom,Speed,0
Gravity,Gravitational_constant,0
Distance,Gravitational_constant,0
Wave,Absorption_spectroscopy,0
Electromagnetic_spectrum,Electromagnetic_radiation,1
Force,Gravity_of_Earth,0
Mass,Kilogram,0
Acceleration,Free_fall,0
Electromotive_force,Energy,1
Electron,Emission_spectrum,0
Electron,Capacitance,0
Distance,Length,0
Force,Lever,0
Displacement_(vector),Acceleration,0
Emission_spectrum,Field_(physics),1
Scalar_(mathematics),Euclidean_vector,0
Energy,Magnet,0
Magnetic_field,Electromagnetic_spectrum,0
Electrostatics,Force,1
Interference_(wave_propagation),Geometrical_optics,0
Amplitude,Frequency,0
Specular_reflection,Ray_(optics),1
Equations_of_motion,Displacement_(vector),1
Relative_velocity,Physics,1
Voltage,Ohm,0
Free_fall,Normal_force,0
Plane_mirror,Reflection_(physics),0
Physics,Transverse_wave,0
Work_(physics),Resultant_force,0
Electroscope,Voltage,0
Physics,Dielectric,0
Free_fall,Euclidean_vector,1
Emission_spectrum,Collision,0
Electromotive_force,Electrical_resistance_and_conductance,0
Electron,Joule,0
Free_fall,Motion_(physics),1
Wave,Refracting_telescope,0
Displacement_(vector),Equations_of_motion,0
Acceleration,Physics,1
Motion_(physics),Distance,0
Field_line,Coulomb's_law,0
Photoelectric_effect,Electroscope,0
Plasticity_(physics),Elasticity_(physics),0
Refraction,Ray_(optics),0
Force,Motion_(physics),0
Scattering,Physics,1
Refraction,Wave,1
Reflection_(physics),Physics,1
Creep_(deformation),Temperature,0
Hooke's_law,Elasticity_(physics),1
Speed,Sound_intensity,0
Scattering,Collision,0
Equations_of_motion,Gravitational_field,0
Work_(physics),Kinetic_energy,0
Physics,Le_Sage's_theory_of_gravitation,0
Refraction,Reflection_(physics),0
Kinetic_energy,Velocity,0
Energy,Field_(physics),0
Electron,Motion_(physics),0
Speed,Field_(physics),0
Field_(physics),Magnetic_field,0
Speed,Refractive_index,0
Ohm,Kilogram,0
Physics,Crest_(physics),0
Frame_of_reference,Motion_(physics),1
Dielectric,Temperature,0
Hooke's_law,Temperature,0
Euclidean_vector,Projectile_motion,0
Acceleration,Relative_velocity,0
Euclidean_vector,Motion_graphs_and_derivatives,0
Physics,Relative_velocity,0
Electromagnetic_radiation,Temperature,0
Position_(vector),Physical_quantity,0
Fracture,Magnet,0
Motion_(physics),Speed,0
Elasticity_(physics),Force,1
Absorption_spectroscopy,Frequency,1
Gravity,Acceleration,0
Mass,Gravitational_acceleration,0
Equations_of_motion,Velocity,1
Electric_current,Magnetic_field,0
Force,Magnetism,0
Electric_potential_energy,Displacement_(vector),1
Force,Gravity,0
Electromagnetic_spectrum,Electric_current,1
Relative_velocity,Distance,1
Wave,Emission_spectrum,0
Electrical_conductor,Physics,1
Joule,Potential_energy,0
Wave,Velocity,0
Emission_spectrum,Electron,1
Force,Normal_force,0
Electric_current,Series_and_parallel_circuits,0
Ray_(optics),Wavelength,0
Lever,Power_(physics),0
Transverse_wave,Wave,1
Frame_of_reference,Inertial_frame_of_reference,0
Refraction,Refracting_telescope,0
Euclidean_vector,Work_(physics),0
Intensity_(physics),Refractive_index,0
Electrical_polarity,Force,0
Electron,Scattering,0
Displacement_(vector),Motion_(physics),1
Force,Electric_current,0
Refracting_telescope,Virtual_image,0
